questions,answers
the phone has been ringing off the hook today,some days are just like that
hello i need to get a cab,there is about a minute wait
there is about a minute wait,that is fine
that is fine,ok give me your address
is tom available please,he is on the other line can you hold for a minute
he is on the other line can you hold for a minute,sure
sure,he will be right with you
hi bill it s jane,jane i m on the other line can you hang on for a second
jane i m on the other line can you hang on for a second,sure
sure,ok i ll be right back
is tom here,speaking
looks like dinner s ready,just about
may i try on this dress,by all means of course
i made my little brother cry,shame on you
can i have the check please,right away sir
right away sir,is this amount correct
is this amount correct,yes sir it is
yes sir it is,thank you the service was good
thank you the service was good,please come again
are you through with your meal,yes we are could we have the check please
yes we are could we have the check please,here you go i can take care of it here when you are already
here you go i can take care of it here when you are already,do you accept checks
do you accept checks,no i am sorry we do not we accept credit cards and cash
those are beautiful do you have any in a size six,yes we do we also have this same style in dark blue and red
yes we do we also have this same style in dark blue and red,no thank you i am just looking for a black pair
no thank you i am just looking for a black pair,let me go to the back and get them i will be right back
are you ok,i am fine i am just so touched by the sad story
very impressive and i do like the leading actress who has an amazing voice,me too there was always a good round of applause every time she sings
me too there was always a good round of applause every time she sings,yes the applause that was what kept waking me up during the show
no doubt it s not a simple thing to put on a phantom show,exactly
did anyone call,just mr white
just mr white,what did he want
what did he want,he would not say over the phone
could i have the check please,okay i will just be a minute
any phone calls for me while i was out,yes your wife and your dentist called
yes your wife and your dentist called,thank you
thank you,you are welcome
yes everything is off,do you have any skirt that will go with this sweater
may i help you,give me six piece chicken nuggets a large fries and a large coke
that is fine,your total comes to dollars
your total comes to dollars,here s
i am sorry is that bicycle yours,yes it is what about it
yes it is what about it,i backed into it while i was trying to get into the parking lot
i backed into it while i was trying to get into the parking lot,i see
i see,i am really sorry i will face the music
i am really sorry i will face the music,where did you hit it
where did you hit it,right here see the scratch
right here see the scratch,oh yes i see it now
how are we going to get there,let s take a cab
hi sorry to have kept you waiting,that is all right
that is all right,how are you
how are you,fine and you
andrew s hair salon this is andrew,andrew this is linda chen
andrew this is linda chen,hi linda what can i do for you
hi linda what can i do for you,i need to set up an appointment to get my hair fixed
i need to set up an appointment to get my hair fixed,for what day
for what day,tuesday morning
i am getting a tattoo tomorrow,are you nuts
my mother bought me a new video game,what is it like
who are the bad guys,there are a lot two really bad ones are giant monster and human spider
there are a lot two really bad ones are giant monster and human spider,wow where is the treasure
wow where is the treasure,it s in a dungeon under a castle
it s in a dungeon under a castle,how do you find it
i played the video game at mike s home yesterday,what is it like
and then,i borrowed it from mike yesterday why not have a try
i borrowed it from mike yesterday why not have a try,that is neat
mrs sue,yes
yes,mr brown will have to call you back in a little while
mr brown will have to call you back in a little while,all right but tell him i will only be here until four o clock
i lost my wallet,i am sorry that is bad luck
mr zhang are you still there,yes
yes,can she call you back she is about to start a meeting
can she call you back she is about to start a meeting,that will be fine
i am going to the pub tonight,do not get drunk
i am sorry i am late,better late than never
hi this is john li is my car fixed yet,let me run and check
hi this is tome smith,yes mr smith
yes mr smith,is my vcr ready
is my vcr ready,no it will be another hour
no that is all right i will just look for something else,well your refund total is dollars
nani book store how can i help you,do you have the the man and the sea by ernest hemingway
do you have the the man and the sea by ernest hemingway,yes we have one copy left
yes we have one copy left,can you hold it for me
would you ring these up for me here,i would be happy to did you find everything you needed
i would be happy to did you find everything you needed,yes i did thanks
yes i did thanks,the total is dollars would you like to put that on sears card
the total is dollars would you like to put that on sears card,no i will pay for it in cash
benter s books,yes i need to order a large number of webster s dictionaries
yes i need to order a large number of webster s dictionaries,we have several hundred in stock
we have several hundred in stock,is there a discount for buying in large quantity
i am a little rushed is there any quicker way to get there,yeah of course you can take a taxi
yeah of course you can take a taxi,how much will that run me
how much will that run me,it depends on traffic and distance but it is reasonable
it depends on traffic and distance but it is reasonable,do the drivers speak english
do the drivers speak english,some are better than others but you should not have a problem
some are better than others but you should not have a problem,are they safe
excuse me could you please tell me where the train station is,it s two blocks down the road
diana s flowers diana lin s office may i help you,is diana in
is diana in,no she is out for lunch may i take a message
no she is out for lunch may i take a message,yes please ask her to call john smith
yes please ask her to call john smith,ok i will make sure she gets the message
what is for lunch,pork chops
what is your address sir,i live at park street
i live at park street,ok someone will be there by
ok someone will be there by,what are your rates
what are your rates,it s dollars initially and cents for each quarter mile
it s dollars initially and cents for each quarter mile,i have four very large suitcases will those fit in the taxi
i have four very large suitcases will those fit in the taxi,no i will send a larger vehicle to pick you up
do you think you can fix my computer,i will give it a try
ah oh are you hurt,i do not think so i am just shaken up a little
i do not think so i am just shaken up a little,maybe i would better call an ambulance
maybe i would better call an ambulance,no do not bother i think i am ok
no do not bother i think i am ok,are you sure
are you sure,yes it s ok
taxi,where would you like to go
where would you like to go,please rush me to the railway station
please rush me to the railway station,get in and close the door
get in and close the door,can you speed up a bit
can you speed up a bit,sorry the road is too crowded
sorry the road is too crowded,but i have no time to lose
but i have no time to lose,but i can not help it
but i can not help it,can you drop me off here
can you drop me off here,sorry we must not stop here
hello is sue there,who
who,sue john
sue john,you must have the wrong number
you must have the wrong number,oh i am sorry
i passed all the tests mom,well done
may i please speak to robert,there is no one here by that name
there is no one here by that name,is this
is this,no this is
no this is,oh i am sorry
oh i am sorry,that is all right
is tom in,wrong number
wrong number,is not this li s residence
is not this li s residence,no it is not
no it is not,oh i am sorry
let s eat out,good idea
may we see the wine list please,sure our special wine today is a chardonnay
sure our special wine today is a chardonnay,that sounds pretty good how much is it
that sounds pretty good how much is it,it s cents by the glass the whole bottle is
it s cents by the glass the whole bottle is,i would like a bottle please
i would like a bottle please,i will need to see your id please
i will need to see your id please,here you go
help help,what is the matter
hello is john in,no can i take a message
no can i take a message,no i will call back later
no i will call back later,all right
that is two for me and one for you,that is not fair
may i please speak to tom,tom has gone to lunch
tom has gone to lunch,i will just try him again
i will just try him again,do you want me to have him give you a call
do you want me to have him give you a call,no but what time do you expect him back
no but what time do you expect him back,he should be back in about forty minutes
hello is john in,no he is not may i take a message
no he is not may i take a message,yes would you leave him a message to call me
yes would you leave him a message to call me,yes what is your name
i can not finish this steak,that is all right
dad how can we get to the zoo,we can take a bus there
we can take a bus there,does this bus go there
does this bus go there,i think so
i think so,let s step in dad
let s step in dad,no it s too crowded
no it s too crowded,dad here comes another bus
dad here comes another bus,fine let s get on oh no judy get off the bus quickly
fine let s get on oh no judy get off the bus quickly,why dad
why dad,we got on the wrong bus
i am trying to reach robert please,robert is not available at the moment
robert is not available at the moment,what time should i call back
what time should i call back,around
i can not find my keys,where did you see then last
can you connect me to mary smith hotel room,mrs smith has not checked in yet
mrs smith has not checked in yet,can you leave a message for her to call her office
can you leave a message for her to call her office,yes i will see that she get the message when she checks in
may i please speak to tom,he is with someone right now would you hold
what is the best way downtown,let me see it depends
let me see it depends,depends depends on what
depends depends on what,if you are in a hurry you should take a taxi
if you are in a hurry you should take a taxi,is that expensive
is that expensive,yes very believe it or not it will cost you more than one hundred dollars
yes very believe it or not it will cost you more than one hundred dollars,i am in no particular hurry
i am in no particular hurry,take a bus then it will only cost you dollars
take a bus then it will only cost you dollars,that is not so bad
this is how you turn on the computer,i see
may i speak to marry lin please,i am sorry marry is out right now
i am sorry marry is out right now,when will she be back
when will she be back,why do not you call back later this afternoon
let s go,where to
i would like to talk to mr white please,he stepped out of the office for a little while
he stepped out of the office for a little while,when is a good time to catch him
when is a good time to catch him,in about twenty minutes
you stepped on my foot,sorry i did not mean to
somebody please answer the phone,i have got it
is tom in,no he is at work now
no he is at work now,may i have his office phone number please
may i have his office phone number please,sure it s
do you mind if i smoke,go right ahead
where are you going,to the office i will be right back
jessie i m afraid i can t come back home for dinner tonight,not back home for dinner again that s the third time this week
we ll see,thank you for understanding i promise i ll make it up to you
i hate doing the damn laundry,watch your language
sam you ve got to forgive me,forgive you for what
forgive you for what,i used your computer and i m afraid i ve erased your personal files accidentally
i used your computer and i m afraid i ve erased your personal files accidentally,no are you kidding me
no are you kidding me,i m afraid not i apologize
it looks to be a nice day today,good let s go for a drive
good let s go for a drive,okay i will get the car out of the garage
okay i will get the car out of the garage,great
jim could you do me a favor,sure just ask what can i do for you
no sweat it s a piece of cake,are you sure
are you sure,absolutely i m a great mechanic
absolutely i m a great mechanic,thanks for helping me out i really appreciate it
thanks for helping me out i really appreciate it,anytime
could you baby sit for me tonight,i would be glad to
how did you get the piano here,it was hard work
it was hard work,you never did it on your own
you never did it on your own,it took three of us to move it
it sounds like bob s getting out of bed,what time did he come in last night
what time did he come in last night,it was after am
it was after am,who was he out with
are you ready to leave,give me a sec
do not do that you are asking for trouble,i do not care
shall we buy,it really depends on you
it really depends on you,but if you were me
but if you were me,if i were you i would buy
it s time to go to bed,but mum we are watching this movie
but mum we are watching this movie,i do not care it s school in the morning
i do not care it s school in the morning,just more minutes
what are you eating,rice
rice,why
why,because it s supposed to be good for you
it s your turn to go first,i went first last time
i went first last time,no mary went first last time
no mary went first last time,oh okay
shall we go out tonight,yeah let s go joe s disco
yeah let s go joe s disco,we would better ask dad first
we would better ask dad first,okay but you ask him
i will cook dinner for you,do not go to too much trouble
have you got any better,that is the best there is
that is the best there is,okay i will take one
okay i will take one,that will be sir
let me help you with that,thanks very much
thanks very much,you really should not be lifting this by yourself
you really should not be lifting this by yourself,i know but there was nobody else
let s eat out,why not
why are not you going out,it s raining cats and dogs
what are you doing tomorrow,i am going to work
i am going to work,what time will you be home
what time will you be home,around o clock
what did you do today,played poker with my work friends
played poker with my work friends,did you win
did you win,of course
hang out the clothes,but it s raining
do you play mahjong,once in a while
you stink,i will go take a shower
i cooked so,okay i will do the dishes
hello mr brown,hello can you help me
hello can you help me,yes i am here to fix your pipes
yes i am here to fix your pipes,oh good come in please
here comes the bus,it s about time
can i have this shoe in the black please,of course sir i will have a look in the back
of course sir i will have a look in the back,okay
okay,i am afraid i have not got one in your size
get up you lazybones,just a minute
shall we start decorating the bedroom,i have already started
i have already started,when
when,this afternoon
how much is this,you mean the large one or the small one
you mean the large one or the small one,the large one
the large one,they are on special this week they have been reduced to five dollars
they are on special this week they have been reduced to five dollars,is this the only kind you have
oh yes i think i will look at those over there before i decide,very well just take your time
why did you stay home today,i am off today
my battery s flat in my mobile,is that why you did not return my call
is that why you did not return my call,and i could not find another phone
and i could not find another phone,that is okay
is there a doctor here,no
no,can you call an ambulance
can you call an ambulance,sure what is happened
it s a big bedroom with a drawing room facing a beautiful wood,is there a bathroom
is there a bathroom,no but there is one downstairs which my daughter used some years ago
no but there is one downstairs which my daughter used some years ago,it sounds good could i go and see it myself
it sounds good could i go and see it myself,certainly you are welcome anytime
certainly you are welcome anytime,see you later
see you later,after a while good afternoon mrs smith i called you just now
after a while good afternoon mrs smith i called you just now,welcome come in please
welcome come in please,yes
yes,this way please your room is upstairs here it is
yes if you want to wash something there is a separate lavatory room outside,excellent i like it when can i move in
excellent i like it when can i move in,anytime you like
anytime you like,ok
i wonder if you could help me,of course what is the problem
of course what is the problem,could you take a picture of me to my friend
could you take a picture of me to my friend,sure thing
you just ran a red light,did i
first you add the washing powder then you add the clothes,i take it you have done this before
i take it you have done this before,yes for the last years
yes for the last years,good
good afternoon sir would you like a tea,i would rather have a cup of coffee
i would rather have a cup of coffee,of course sir would you like milk and sugar with that
of course sir would you like milk and sugar with that,yes please milk and two sugar
he is going too slow,pass him
i stayed at bob s last night,i was worried where you were
i was worried where you were,i guess i should have told you
i guess i should have told you,yes you should have
are you going to come home late tonight,yes i have got to work overtime
ah bob just the person i wanted to see,so what is it
so what is it,you gotta help me out this time buddy
you gotta help me out this time buddy,another tough thing i guess
hi bob what time will you be home tonight,i will be back late tonight
i will be back late tonight,why what is the problem
why what is the problem,i have a meeting with my general manager
don t worry about it i have his pager number right here,really you ve helped me a lot thank you
really you ve helped me a lot thank you,forget it it s nothing
how s the chicken,it s delicious
would you pour me some of that tea please,okay say when
would you care for a drink,no thanks i am fine
hello could i speak to allison please,i am sorry he is out at the moment
i am sorry he is out at the moment,when do you expect him back
when do you expect him back,i think he will be back in about an hour at least
i think he will be back in about an hour at least,well may i leave a message
well may i leave a message,yes of course
yes of course,would you please ask him to call chris when he gets back
would you please ask him to call chris when he gets back,ok does he know your number
ok does he know your number,i am afraid he does not my mobile is
welcome back,it s good to be home
how can i get to lakeside park,take the no bus there s a bus stop just over there
take the no bus there s a bus stop just over there,will it take me straight there
will it take me straight there,yes no need to change
i come home for lunch,how long have you got
how long have you got,only hour
only hour,okay i will make you some food
may i speak to marry,marry is not in right now she went shopping with her mum
marry is not in right now she went shopping with her mum,will it be too late if i call around ten this evening
will it be too late if i call around ten this evening,that is all right we do not go to bed early
hello excuse me do you know if there s a commercial bank around here,yes go straight along beijing road and turn right
yes go straight along beijing road and turn right,straight on and turn right is it far
straight on and turn right is it far,no it s just a couple of minutes
no it s just a couple of minutes,thanks very much
thanks very much,you are welcome
we are broke,i can not believe it
where do you want to go,i am going to the hospital
i am going to the hospital,get in i will take you
get in i will take you,about how much will it cost
about how much will it cost,it will cost you
it will cost you,by the way what is the time
by the way what is the time,you can see the time on the meter i have radio time you know
you can see the time on the meter i have radio time you know,it s a quarter to could you please drive a little faster
it s a quarter to could you please drive a little faster,certainly
i broke mom s vase,she is going to kill you
who broke my chair,it was not me
man that car almost hit me,yeah that was close
where can i get a good novel,there s a bookstore just across the street
the washing machine is not working again,it s not my fault
i will treat you dinner,do not be silly let s go dutch
where did this come from,i have no idea
would you please put that cigarette out i get sick on it,you do ok fine with me
you do ok fine with me,thank you so much
thank you so much,but i also want ya to do me a favor
but i also want ya to do me a favor,what
what,you gotta have some better deodorant
you gotta have some better deodorant,i m sorry
do you mind if i get a lift in your car please,i don t see any problem only the car is a bit old
i don t see any problem only the car is a bit old,oh you re so kind
oh you re so kind,get in
that will be eight dollars please,here s ten keep the change
these are new arrivals,let me have a look
let me have a look,try them if you like
try them if you like,i like the fabric but i don t like the style
i like the fabric but i don t like the style,what about that one over there
what about that one over there,they are too bright
thank you for calling the twin theatre,what time does the next showing of forrest gump begin
what time does the next showing of forrest gump begin,the next show is at two o clock
the next show is at two o clock,what about the one after that
do you have wool socks,yes we have socks made of various materials these socks are of imported wool
yes we have socks made of various materials these socks are of imported wool,can you guarantee the quality
can you guarantee the quality,yes absolutely
yes absolutely,where are the panty hose
where are the panty hose,here we have black white and transparent panty hose here
do you have any fresh baked donuts for sale yet,they will be ready in about half an hour do you need anything else
they will be ready in about half an hour do you need anything else,yes i would like five croissants too
yes i would like five croissants too,it s going to be dollars cents
taxi,yes sir where to
yes sir where to,wangfujing please
wangfujing please,all right
all right,oh i like the music on your radio it s nice
but i do not speak english at all,that is ok the program is especially for the beginners like us
that is ok the program is especially for the beginners like us,really when is it on
really when is it on,it begins at every morning and it goes for minutes
it begins at every morning and it goes for minutes,thank you so much i will try and catch that
thank you so much i will try and catch that,the radio has brought us lots of convenience
the radio has brought us lots of convenience,yes i can also learn about the traffic condition through it
yes i can also learn about the traffic condition through it,with the development of the society and technology radio is nearly everywhere
with the development of the society and technology radio is nearly everywhere,so we should take the advantage of it
do you have these shoes in a size,yes let me get you a pair
what a mess,sorry i will clean it up
i wonder if we can change to channel,why
why,i want to know what is on that channel
i want to know what is on that channel,oh good
oh good,there is a football match
there is a football match,i prefer tv play to football
i prefer tv play to football,ok could you turn it down
ok could you turn it down,what are you going to do
what are you going to do,i am going to listen to the radio
i am going to listen to the radio,maybe we can enjoy the tv play together it s interesting
excuse me can you show me the cloisonn bracelet in the counter,sure let me get it for you
sure let me get it for you,can you also show me this one
can you also show me this one,no problem this one is made of pure gold
no problem this one is made of pure gold,i think the cloisonn bracelet is more beautiful
i think the cloisonn bracelet is more beautiful,you re right this one costs less but is more beautiful
you re right this one costs less but is more beautiful,will the luster fade out after some time
will the luster fade out after some time,no we guarantee the quality
no we guarantee the quality,ok can i try it on
ok can i try it on,certainly the mirror is right here
mommy can i stay up until eleven o clock,no go to bed right now
may i speak to peter,who s calling
it s so boring,do not you like it
do not you like it,i do not is there anything worth watching on the other channel
i do not is there anything worth watching on the other channel,i think it s a basketball match on channel
i think it s a basketball match on channel,do you mind if we switch over
do you mind if we switch over,well i would rather see a movie
well i would rather see a movie,what is the movie
what is the movie,star war
star war,it must be interesting
it must be interesting,yes you are right
excuse me what is the screen near your steering wheel for,it s a portable tv it s a popular thing now
it s a portable tv it s a popular thing now,oh that is new to me so what is on everyday
oh that is new to me so what is on everyday,news about current affairs documentaries music movies noncommercial ads and so on
news about current affairs documentaries music movies noncommercial ads and so on,is there anything interesting
i agree are there any commercials on the tv,of course because the tv stations need to make money from commercials between the programs
of course because the tv stations need to make money from commercials between the programs,that makes a lot of sense does the tv work well
that makes a lot of sense does the tv work well,not always it depends on the transmission of the satellite signals
not always it depends on the transmission of the satellite signals,i got it do you pay for the programs
i got it do you pay for the programs,yes yuan per month
yes yuan per month,it is a little bit expensive but it s worth it
it can also entertain your passengers like me,that is the point
jenny you are too lazy you should do some exercise see you are getting fat,dad it s raining outside
dad it s raining outside,that is your excuse
that is your excuse,all right all right i will go swimming with peter this afternoon
all right all right i will go swimming with peter this afternoon,not just today go exercise everyday
peter enough with your computer games go do your homework now,can not i play more
can not i play more,no stop playing computer games
no stop playing computer games,mom i will be finished soon
hi who has the remote control,i do why do you want me to change the channel
i do why do you want me to change the channel,yes please i can not stand watching the channel any more
put it on channel ok,oh i hate channel i would rather just listen to the radio
oh i hate channel i would rather just listen to the radio,do not make such a fuss i am sure you will like today s programme
do not make such a fuss i am sure you will like today s programme,what is on today
what is on today,a basketball match between chinese team and american team
a basketball match between chinese team and american team,really i am interested in it
really i am interested in it,it might begin now
peter where are you going,i am going to do some shopping
i am going to do some shopping,will not you watch tv
will not you watch tv,what is on tv tonight is there a football match
what is on tv tonight is there a football match,the tv station will air the world cup football match alive at
the tv station will air the world cup football match alive at,really who will play
really who will play,the brazilian team versus the american team do not miss it
the brazilian team versus the american team do not miss it,that is cool i will watch it
that is cool i will watch it,who do you think will win
who do you think will win,there is no doubt that the brazilian team will win
there is no doubt that the brazilian team will win,i think so
may i have a cookie,help yourself
by the way where is jim,he is out
watch out,wow that car almost hit me
eat some more,no thanks i am on a diet
hurry up will you,what is the rush
yes i would like to it s my honor let s pick a song,how about this one
how about this one,sorry i can not sing the song
sorry i can not sing the song,er how about this one
er how about this one,ok but i am not familiar i do not know the beginning part
ok but i am not familiar i do not know the beginning part,never mind you can follow me i will sing the first part
never mind you can follow me i will sing the first part,ok
peter go and tidy up your toys now,wait a moment mom
wait a moment mom,i am mad i said now turn off the tv and do it now
i am mad i said now turn off the tv and do it now,mom just ten more minutes the show is going to be over soon
sorry i am late,it does not matter
it runs every minutes you must have missed it,it seems you got here at good time do you have a bus schedule
it seems you got here at good time do you have a bus schedule,yes i do you can buy a bus schedule in a news stand
yes i do you can buy a bus schedule in a news stand,i see thank you by the way is this the right bus for the museum
i see thank you by the way is this the right bus for the museum,yes it is
yes it is,do i have to change
do i have to change,no the museum is the terminal of this bus
no the museum is the terminal of this bus,thanks a lot
thanks a lot,you are welcome
mom can i have more allowance,what for
what for,i want to buy more books
i want to buy more books,oh yeah are you joking
oh yeah are you joking,of course not i am telling the truth
two burgers please,for here or to go
open the book and turn to page,it is difficult
it is difficult,no honey it s easy if you know the way
no honey it s easy if you know the way,do i have to memorize it
do i have to memorize it,no honey try to make notes in your notebook
peter wash your hands first and then have some dessert,mom can i have some ice cream
mom can i have some ice cream,not today honey do not eat too much ice cream
not today honey do not eat too much ice cream,mom can i have one more piece of cake
mom can i have one more piece of cake,ok the last piece is for your dessert we are having dinner soon
dad can you help me,oh honey you made a mistake
oh honey you made a mistake,i do not know how to do it
i do not know how to do it,ok let s do it together
ok let s do it together,divided by what is the answer
divided by what is the answer,divided by equals
divided by equals,you got it good job
how was your test,it was bad
it was bad,oh honey you should study harder
oh honey you should study harder,but i already tried my best
but i already tried my best,do not worry you will do better next time
is bob home,sorry you have got the wrong number
dad how do you say this word,sword say it sword
sword say it sword,what does this word mean
what does this word mean,look it up in the dictionary
look it up in the dictionary,dad can you just tell me what it means i am too lazy
dad can you just tell me what it means i am too lazy,no honey go and read it you will learn
jenny what is your favorite color,i like red
dad i want to draw with crayons can i,why not let s draw the outline of an apple with your pencil first
mom my nose is bleeding,what happened peter did you have a fight
what happened peter did you have a fight,no mom i did not
no mom i did not,did somebody hit you or did you just fall
did somebody hit you or did you just fall,mom i was just picking my nose and now it s bleeding
something s wrong with my air conditioning,leave it to me i will fix it
mom i do not feel well,are you sick
are you sick,i feel dizzy
i feel dizzy,let me take your temperature
let me take your temperature,mom i do not want to go to see a doctor
mom i do not want to go to see a doctor,oh honey i think you have caught a cold you should get a shot
what do you want to be,dad i have not thought about it i am still young
dad i have not thought about it i am still young,oh honey but you must know what your hobby is right
oh honey but you must know what your hobby is right,i like playing the piano
i like playing the piano,yes you play the piano well you could be a good pianist that is good
where are you off to,the movies
may i have the menu please,sure here you go
peter do you want to learn to play the piano,no mom piano is for girls
no mom piano is for girls,well there are many boys that can play the piano very well like jay chou
well there are many boys that can play the piano very well like jay chou,no way mom i do not like piano
jenny can you come and help me,mom what should i do
mom what should i do,it s dusty everywhere in the house can you help me do the housecleaning
it s dusty everywhere in the house can you help me do the housecleaning,ok i will call peter to clean it together
ok i will call peter to clean it together,that is my good girl the clothes need washing i will do the laundry
mom what are we going to make tonight,curry and rice what do you think
curry and rice what do you think,that sounds nice i can peel the potatoes first
that sounds nice i can peel the potatoes first,really oh honey you are so sweet i will chop up this carrot
really oh honey you are so sweet i will chop up this carrot,mom the water is boiling
mom the water is boiling,honey just turn down the stove
can you make out what he is saying,no it s too loud in here
it s your turn now helen,ok i am coming
ok i am coming,this is your song i picked it for you
this is your song i picked it for you,thank you you are so considerate
thank you you are so considerate,push the red button on the mike to turn it on
push the red button on the mike to turn it on,ok this key is too high for me
ok this key is too high for me,i think it s a piece of cake for you
i think it s a piece of cake for you,ok let me have a try
ok let me have a try,well done i hope i can sing as well as you one day
well done i hope i can sing as well as you one day,thank you i am sure you will
thank you i am sure you will,i hope so thank you for saying so
dinner s ready come and get it,coming
have you got a minute,sure what is up
who is the next one,it s peter s turn
it s peter s turn,give the mike to him
give the mike to him,ok
ok,be quiet he is singing
be quiet he is singing,i thought he only liked to listen
i thought he only liked to listen,so did i
so did i,he has a really good voice
he has a really good voice,yes he sings wonderfully
can you pass me the lighter,here catch
have you ever sung with a karaoke,yes i do it quite often
yes i do it quite often,karaoke has become a major entertainment i wonder why
karaoke has become a major entertainment i wonder why,simple it s fun
i would not do that,but i like the feeling
what kind of music do you like,i like popular music best
i like popular music best,me too
me too,who is your favorite singer
who is your favorite singer,qi in is
qi in is,do you know this song
do you know this song,yes i like it very much
yes i like it very much,let s sing it together shall we
let s sing it together shall we,no problem
who s it for,it s for you
how much does this cost,sixty dollars
may i use your phone,go ahead
where is the toilet,over there
watch out jenny be careful of the cars,i am fine dad
i am fine dad,did you get hit
did you get hit,no dad can i go there to play ball
no dad can i go there to play ball,watch out for strangers and do not go too far away alright
do you shop online often,every so often it is very convenient and the price is lower than in stores
every so often it is very convenient and the price is lower than in stores,are there many things online
are there many things online,books cosmetics daily necessities even large electrical appliance can be ordered from online stores
books cosmetics daily necessities even large electrical appliance can be ordered from online stores,incredible i really want to survey the on line virtual supermarket
what are the disadvantages of on line shopping,some provide wrong pictures for the goods so many buyers are deceived
peter it s time to go home now hurry up,ten more minutes mom please
i bet she will hang around with her mates after school,peter it s a quarter to twelve let s go home now
do not tell me you are pregnant again,i am afraid so
indeed online banking enables you to make on line shopping,do you know how to get the bank account
do you know how to get the bank account,bring your id card and fill out a form that will be fine
bring your id card and fill out a form that will be fine,so easy
honey i need to have a talk with you,dad i have to do my homework
dad i have to do my homework,no honey why did not you go to cram school last night
no honey why did not you go to cram school last night,dad i do not want to talk about it now
our monthly salary can not buy one square meter of the house here,it is depressing to hear the price goes higher and higher
have you watched the tv series humble abode,yes it displays some social problems and interprets the values of our white collars
yes it displays some social problems and interprets the values of our white collars,i really really want a house even though it is small like a snail house
stop burping,i can not help it
can you give me a hand,of course
let s go now,i will be with you in a minute
kate can we change the channel,why
why,this channel has so many advertisements and it does not have any good tv programs
this channel has so many advertisements and it does not have any good tv programs,ok you can change it
ok you can change it,what about this one do you like this program
what about this one do you like this program,no i think it is very boring can you change it to channel twelve please
no i think it is very boring can you change it to channel twelve please,yes oh it s a talk show
yes oh it s a talk show,yeah it s very funny have you ever watched it before
yeah it s very funny have you ever watched it before,no i have not this is my first time to watch it
no i have not this is my first time to watch it,i am sure you will like it
mom can i watch tv,no more today honey
no more today honey,alright mom should i turn off the tv right now
mom where is the remote i can not find it,just go to read i will find it honey
ok tom it s your turn are you ready,i really would rather just listen is not there anyone else who wants to sing
can you give me a hand with my luggage,of course
peter have you seen my purse,no mom i have not seen it
no mom i have not seen it,that is strange it should be on the desk
that is strange it should be on the desk,mom did you try the basket on your bicycle
mom did you try the basket on your bicycle,not yet let me see
hello i am sorry for calling this late may i speak to peter,i am sorry he is not in right now
i am sorry he is not in right now,when is he coming back
when is he coming back,he should be back in ten minutes could you call back later
he should be back in ten minutes could you call back later,i will call again in thirty minutes
i received an e mail from mother today,what did she say
what did she say,she missed us and asked when we would go back home
she missed us and asked when we would go back home,what is your plan
right then you would better send an e mail to tell her,all right
