questions,answers
i am afraid not sir,what a pity
which brand do you prefer,sky worth
sky worth,ok come with me please
can i help you,i want a leather jacket
i want a leather jacket,what size please
what size please,size
size,what color would you prefer
how much please,only yuan
you can check it sir,ok
may i try it on,of course please
gold ones,pure gold or carats
ok,how much is it
how much is it,yuan
sure please come this way,may i try it on
jade ones,ok here they are
eight hundred yuan,how about seven hundred yuan
yes i would,what is this made of
only yuan,it s expensive for me
could you deliver it tomorrow,no problem
no problem,please handle the items carefully
please handle the items carefully,certainly
by all means,thank you very much
thank you very much,you are welcome
okay no problem bye,bye
ok thank you bye bye,bye
all right anything else,no thank you
no thank you,my pleasure
how much can you drink,i usually only have beers
i usually only have beers,you are a light weight
you are a light weight,how much can you drink
by weight cents per pound,could you weigh these please
could you weigh these please,please anything else
please anything else,a sack of cherries please
a sack of cherries please,here you are
i see,enjoy yourself sir
hangzhou food,ok how about dongpo meat
yes i like using chopsticks,do you like some soup
can not we go faster,i will do my best
dark please,now or later
now or later,later will do
later will do,will there be anything else
will there be anything else,no that is all thanks
that is right,just a moment please
may i have a reservation,yes of course
all right your name please,i am chen liang
what are you doing,i am watching tv
tingling is on tv,which channel is it
which channel is it,channel
it s john,thank you very much bye
i am cooking now,are you good at cooking
thanks a lot,it s my pleasure
hello,hi is heather there please
ok thanks,bye bye
how much is the rent,the rent is per month
this is mr william,can you spell that please
ok your name please,black
black,good thank you very much
how much are you asking,yuan a month
what games do you like,i like word games
let s play other game,what about playing go
what about playing go,ok
do you play cards,of course and very well
can i have a look,of course come in
yes,would you like an appetizer
i want egg soup,have you decided on anything
what is it,twice cooked spicy pork slices
twice cooked spicy pork slices,ok let me try it
ok let me try it,anything else
anything else,no thank you
thank you very much,you are welcome
then how about this one,ok i will have that
thank you,do you have a reservation
do you have a reservation,yes i do
oh this is just fine,please take a seat
please take a seat,thank you
thank you,here is the menu
thank you very much,you are welcome
where to sir,to this place please
to this place please,star hotel ok
about minutes,here s the hotel
here s the hotel,how much is the fare
how much is the fare,that is dollars
hi i am just looking,it s a good car
it s a good car,what year is it
what year is it,
,how about the mileage
how about the mileage,miles all highway mileage
miles all highway mileage,what do you mean b
how much is it,
thanks a lot,you are welcome
thank you,are you new here
are you new here,yes
thank you very much,my pleasure
good coming sir,good morning
where are you going,i am going to wangfujing
how much is the fare,three yuan
thank you for your help,my pleasure
what color do you want,i prefer the blue one
i prefer the blue one,what size are you
what would you have,i will try chinese wine
ok give me one please,here it is
here it is,thank you
how about its taste,fine sir
tin or bottle,tin please
no thank you,you are welcome
anything else sir,yes something non alcoholic please
a glass of juice please,coming up immediately
for what time sir,around p m
diet coke,regular or large
regular or large,regular please
regular please,ok anything else
ok anything else,no thanks
no thanks,for here or to go
for here or to go,for here
master card here you go,wait a moment please
hello i am amy,what brings you here
how about some zongzi,what is that
ok we will try some,anything else
anything else,no it s enough
yes,would you like an appetizer
i want egg soup,have you decided on anything
what is it,twice cooked spicy pork slices
twice cooked spicy pork slices,ok let me try it
ok let me try it,anything else
anything else,no thank you
the front brake,i think so
about half an hour,i will wait
anything else,one whisky
that is fine,your total comes to
your total comes to,here s a twenty note
what is the price,
any special colors,how about this one
yes we have,ok we will choose it
your name please,tim chen
tim chen,what is the number please
icecream please,what flavor would you like
what flavor would you like,orange
egg soup is ok,is there anything else
sprite with ice please,ok here you are
ok here you are,thank you
i will have a hamburger,the works
anything to drink,a small cola
waiter,yes can i help you
is the service charge included,yes
yes,ok here you are
ok here you are,thank you
banana pie,where shall we sit
where shall we sit,how about there
waiter,would you like anything else
pay me please,here you are
here you are,thank you the change sir
excuse me,yes
taxi,where will you go sir
where will you go sir,friendship hotel
thank you so much,not at all
sure here you are,could you recommend some dessert
do not you have cheese,of course we do
hey taxi,where to sir
where to sir,beijing library
beijing library,hop in please
it s london,and your name and number
richard zhang,what is the phone number
your name please,monica tang
monica tang,hold on please
hold on please,ok thank you
to mr zhang in at,yes that is right
are you sure this time,yes
yes,ok let me try again
ok let me try again,thank you
your name please,it s helen kent
is that mr edna kent,that is right
yes thank you so much,have you booked already
five yuan,thanks
taxi,where to
thank you,my pleasure
anything to drink,milk please
spread some jam please,anything to drink
anything to drink,black coffee is fine
may i order please,of course
ok we will try it,any drinks
how much are the lemons,three for ten cents
three for ten cents,give me a dozen lemons
give me a dozen lemons,anything else
ninety dollars,it s too expensive
how much is it,two thousand
do you have trifles,yes
can i help you sir,yes fill it up please
ok thanks,your car s ready
well what about a brooch,only old women like that
roses will be fine,what color
can you deliver them please,what is the address
what is the address,main street
where are the chairs,they are behind the door
do you want some dessert,apple pie please
apple pie please,single or double
single or double,make it two
what is this amount for,it s for the drinks
do you want some dessert,no thank you check please
i would love to,first put away your toys
first put away your toys,ok
no i am going alone,oh are not you afraid
yes sir,how much is the charge
how much is the charge,let me see it s
let me see it s,do you receive checks
does this bus go there,i think so
i think so,let s step in dad
let s step in dad,no it s too crowded
no it s too crowded,dad here comes another bus
wait a moment it s,we would prefer separate checks
sure at what time,o wouldock in the evening
then will you try extension,certainty sir
thirty percent,yes
what are you serious,yes
yes,but nobody uses macintosh
steak please,how would you like it
how would you like it,medium rare please
medium rare please,anything else sir
which airport ma am,kennedy airport
how about going swimming,ok where should we go
the workers stadium,this is the right bus
of course,it s genuine i bet
hold on please,thank you
thank you,sorry but she is out
seventy cents a piece,how about this one
how about this one,sixty cents a piece
here you are,thank you
thanks a lot,you are welcome
what is the fare please,twenty dollars and sixty cents
twenty dollars and sixty cents,what you are overcharging me
may i try it on,sure let me help you
hello elizabeth how are you,fine thanks
how s this,i am just looking
can i help you,how much is this pen
how much is this pen,ten yuan
one yuan,here s fifteen yuan
ok that is right,welcome to come again
welcome to come again,ok
what size do you wear,middle size
us,then i will take it
how much is it,yuan
where was it from,it was made in jingdezhen
here keep the change,oh thank you very much
of course,are they genuine
may i help you,yes fill it up please
yes fill it up please,premium or regular
premium or regular,regular please
i am just looking,then take your time please
then take your time please,thank you
ouch i am hurt,are you all right
no thank you,how about oil or spray
how about oil or spray,no nothing of the kind
no nothing of the kind,there how is that
there how is that,that is very good
shave also s ir,yes
yuan,that is expensive
air mail or surface mail,air mail please
by ordinary air mail please,anything of value in it
good afternoon where to,tian anmen square
the merriman satin sheets,yes that is right
visa,card number
card number,
,expiration date
expiration date,july
hey taxi,where are you heading sir
where are you heading sir,capital airport
capital airport,what is your flight time
what is your flight time,at
good morning,good morning
good morning,may i take your order
soft boiled please,all right sir
fried please,anything more sir
thank you,you are welcome
of course ma am,will it take long
excuse me,yes
dollars,that is sheer robbery
here you are,thank you
you can transfer fuchengmen,how far is it
i see thanks a lot,you are welcome
it s dollars,all right here s dollars
go to gate number please,thank you very much
thank you very much,do not mention it
thank you,you are welcome
thanks a lot,you are welcome
unleaded please,ok
sure,how long does it take
how much is it,it s two yuan
i appreciate it thank you,that is all right
you mean this one,yes
may i make a reservation,of course at what time
excuse me,yes
sure for how many,three seats please
three seats please,may i have your name
oh this one here,may i try it
may i try it,sure
cash or charge,charge please
oh you mean kikes,yeah that is the one
can i make a reservation,yes sir for what time
can i make preservation now,sure at what time
can you help me please,sure if i can
by airmail or seamail,how different are these rates
about a month,then by sea please
around,party of two
party of two,no we have five persons
what size do you wear,my feet is size
oh here you are,all right wait a minute
may i see your receipt,here you are
here is it,how much altogether
how much altogether,the total amount is
i do not like to,do you care for seafood
would you care for beverage,no thanks i am fine
,is there a price reduction
how about drink sir,a cup of coffee please
how much is the hat,
let s sit over there,ok
ok we will take it,anything else
how about drink,coffee only black coffee
thanks,you are welcome
i will bring it over,anything good for this evening
sure how about the tweed,it feels good
any vegetable,i would rather have broccoli
how is your appetite today,i am rather hungry now
please try these on,the tip is rather narrow
ok ok on one condition,what is that
yes,are they clean
what size do you want,size
size,here you are
what about soup,sour peppery soup
the big one,yes
did you order the cake,oh i forgot
can i smell it,sure
can i try this lipstick,sure here is the mirror
what is the charge,the delivery time is weeks
the delivery time is weeks,ok thank you
hello,hello is steve there
around five thirty,this afternoon
tyler residence,is this naomi
thanks,bye
fine and the charge is,when will it be available
when will it be available,next wednesday
can you recommend me one,sure it s the latest
how about something to drink,a coke please
do you accept coupons,yes
how much altogether,
,do you receive cash only
can i sample a grape,sure
is there anything else,give me one coke please
your appetite is good,i am always feeling hungry
certainly how about this one,this will be fine thanks
is this,no it s
no it s,oh i m so sorry
oh i m so sorry,that is ok
how much is the desk,
have you brought your receipt,yes here you are
gave me the receipt please,here is my receipt
here is my receipt,what is wrong with it
is that all,do not forget to send
do not forget to send,oh i see thanks
yes a medium coke,will that be all
will that be all,yes
yes,for here or to go
medium,these here are all mediums
looks good,would you like a shave
would you like a shave,no thanks
are they sweet,very sweet
very sweet,how much are they
do you take american express,no we do not
here you are,thank you
yuan,here is ten yuan
here is ten yuan,here is your change please
here is your change please,thank you
whoa when,enjoy your drink sir
is it far from here,no it s not far
no it s not far,how far is it
no later than tomorrow,thanks
yuan,here s keep the change
yes we do,how much would it be
how much would it be,from to
thank you very much,anytime
a month,does the rent include utilities
does the rent include utilities,no utilities are extra
no utilities are extra,where s the laundry room
sure what is it,my car has broken down
with pleasure get in,thanks a lot
who,david bush
hello hello,no response silence
no response silence,hello who is calling please
hello who is calling please,no response
,how can it be
traxi taxi,hello madam where to
no problem get in now,take me to hilton hotel
take me to hilton hotel,all right got it
,thank you very much
thank you very much,you are welcome
what color do you like,blue
blue,how about that one
sure here it is,how much does it cost
how much does it cost,dollars
dollars,dollars that is too much
dollars,that will be fine
yes,how many do you want
ok here you are,thanks
thanks,it s ok
here is,your change please
your change please,thank you
thank you goodbye,bye
anything else,no
no,how about drink
how about drink,no enough
no enough,please wait a moment
please wait a moment,waiter come back
waiter come back,ok what is up madam
ok what is up madam,it s not too salty
it s not too salty,ok
ok,waiter come back again
waiter come back again,yes anything wrong
yes anything wrong,not too rare
not too rare,yes i see
hi michael,hi amy what is up
thank you,bye
now,what
what,now would be better
now would be better,ok let s go
ok let s go,should we walk
i am going shopping,what time are you leaving
ok,do you have enough money
do you have enough money,i am not sure
i am not sure,how much do you have
thanks see you later,bye
how would you like it,just a trim will do
sure here you are,a moment please
what is your name,addison
are smoke detectors provided,yes
thank you very much,you are very welcome
this is the kitchen,it looks new
i like it,here s the master bedroom
a month,does that include utilities
when will it be available,the end of this month
okay thank you very much,you re welcome
how s that,that s better now what
that s better now what,check your petrol situation
how does that feel,it feels very good
it feels very good,you look wonderful
yes what are your hours,we open at lo
we open at lo,thanks lot
do you take credit cards,yes we do
how much is a battery,
,how long will it last
how long will it last,about years
about years,here is the money
they are in aisle,thank you
cents,how come so cheap
here s your change,thank you very much
thanks,no problem
that s good thanks,you re welcome
may i help you,yes do you have sweaters
can i try it on,sure
excuse me check please,ok how was everything
ok how was everything,very nice thank you
ok,here s your receipt
here s your receipt,thank you
which cup,the red one
the red one,put it on the table
put it on the table,how about this fruit
what color do you like,a white one please
what is the size,large
,on the meter
on the meter,ye of course
ye of course,ok let s go
could i try it on,sure
what is the fare,
surely of course,where is the fitting room
where is my book,which one
which one,the dictionary
the dictionary,it s under the table
it s under the table,where is my pencil
ok,what is the brand
hey where are you going,coing out for a walk
no problem,will it shrink when washed
who s calling please,this is kevin
this is kevin,hold on a second please
hello manchester,hello is that nicholas
yes i do go on,his number s
his number s,marvellous thanks for your help
it s half past twelve,when do you have lunch
when do you have lunch,from one to two
from one to two,what do you normally eat
hello can i help you,i need the police
i need the police,what happened
give me your address,wooden street east
let me help you,what does mi mean
what does mi mean,mi stands for middle initial
what shall we do tonight,how about the cinema
why is that,because i love the snow
because i love the snow,yes the snow is fun
how big was it,it was seven feet tall
it was seven feet tall,how long did it take
how long did it take,it took us all day
hey are you getting dressed,yes i am
yes i am,why what time is it
ok see you at noon,if i am awake
any particular colour,not really
not really,how about this one
air mail or surface mail,air mail please
three dollars and forty cents,there you go
thank you very much,you are welcome
i do not smell bad,that is what you think
i can smell you,i can smell you too
i can smell you too,that is my perfume
that is my perfume,when can i wear perfume
you should unplug the phone,that is a good idea
what happened before,my hard drive crashed
are you ready,ready for what
ready for what,ready for the big switch
ready for the big switch,what are you talking about
ok,please get ready
please get ready,thank you
oh no you do not,what do you mean
what is your weight,pounds
it was okay,would you like a drink
how much are the roses,twenty dollars per dozen
ok,look traffic jam again
every five minutes,oh here comes a bus
oh here comes a bus,it comes on the dot
things change every minute,we have too many cars
oh here comes a bus,it s here at last
it s here at last,how long have you waited
how long have you waited,twenty minutes exactly
are the plumbing all right,the plumbing seems ok too
i can not believe that,what
no i am not clear,we have spent
do you like the room,yes what is the rent
yes what is the rent,per month
what about next saturday,fine
i see thanks a lot,you are welcome
yes you are right,is it far
thank you very much,it s my pleasure
really,and not expensive either
everybody s buying them,are they
ok i know thank you,not at all
hello is your taxi engaged,no this taxi is free
ok let s go then,do you have any money
do you have any money,for what
how about at pm,see you then
yuan please,here s yuan
and the bubble wrap,that s another quid
here you are,where is the fitting room
ok here is the money,here s your change
what size are you,i m a large
here you are,thank you
sure large or medium,medium please
medium please,anything else to go
you have got a deal,great bye
great bye,bye
no thanks,paper or plastic
paper or plastic,pardon me
this one,no the other one yes
the blue one,good i like it
ok i ve done that,then just press this button
looks can be deceiving,what do you mean
what do you mean,it s very windy today
lisa can i call taiwan,are you homesick
are you homesick,i miss my parents
thirteen,and the height
absolutely here it is,could i try it on
bingo,it s just you
where,taiwan
taiwan,that will be cents
that depends on the weight,i see
yes we do,where is the fitting room
sure,how much is it
how much is it,dollars madam
no thanks,bye
yes,oh good transfer please
oh good transfer please,sure
anything else sir,green salad please
cola please,your address please
your address please,
ok take care,thank you
is that the japanese restaurant,speaking may i help you
the oval shape one,that is right
stirred or shaken,stirred will be fine
stirred will be fine,here you are
here we go,it tastes great
it tastes great,enjoy yourself
enjoy yourself,yeah
two hamburgers and french fries,is there anything else
kebabs and roast squid,can i have a bite
can i have a bite,help yourself
help yourself,supper
looks good,would you like a shave
would you like a shave,no thanks
medium,these here are all mediums
what size do you wear,ten and a half
ten and a half,how about this pair
thanks,don t mention it
excuse me,yes
thanks,you re welcome
thank you,you re welcome
can i pay by card,cash or card is fine
how much does it cost,this one is yuan
would you like anything else,that is all thank you
ok sir,how much do i owe
how much do i owe,yuan
what is this for,that is for the wine
that is for the wine,i see
what did you order,roast beef
they are soft,would you like some more
would you like some more,no more thank you
sure it s,and your address
and your address,forest drive
would you excuse me,for what
thank you very much,it s our pleasure
wine please,what kind
what kind,something real australian
something real australian,would chablis be all right
would chablis be all right,yes that would be fine
certainly how about this one,this will be fine thanks
yes a medium coke,will that be all
will that be all,yes
yes,for here or to go
yes that sounds wonderful,ok see you then
can you help me please,certainly sir
are we here yet,not quite yet
not quite yet,how far away is it
how many miles to go,we are getting close
we are getting close,will we be there soon
will we be there soon,here we are
here we are,where is the hotel
do you want a taxi,yes
yes,where to
yes i know it,you can take me there
that is good,buckle up the belt please
buckle up the belt please,let s go
where to ma am,the grand hotel
the grand hotel,the grand hotel
it s getting late mary,maybe i should go home
are you sure,we can sleep together
we can sleep together,sounds like a good idea
thanks for the warning,that is all right
sure,thanks
i forgot,you forgot you
no i did not,sure
sure,quite sure
yes i m pretty sure,do you have her address
i see thanks anyway,no problem
do you like chocolates,it depends
it depends,do you like coffee
do you like coffee,um it s delicious
oh dear,what is the matter
well it looks very nice,thanks
the chicken is also nice,no i want the fish
no i want the fish,our special tonight is lobster
i have typed the report,well done
sure,thank you
thank you,you re welcome
black,and plate number
and plate number,akim
how beautiful the flower is,really it s so beautiful
where is it,it s a private garden
excuse me sir,yes
congratulations on your success,thank you
thank you,and how s your brother
and how s your brother,he is fine
thank you very much,you re welcome
i ve changed my mind,why is that
french dressing please,i beg your pardon
i beg your pardon,oh french dressing
oh what s she like,she is beautiful
she is beautiful,is she old or young
what shall we do tonight,how about the cinema
i d appreciate that,please use the phone
please use the phone,thanks
no there s no need,can i print it
i am so busy today,can i help you
ok,do you promise
do you promise,of course
thanks a lot,you re welcome
yuan for hard seats,fine
fine,sir
we have not hurry up,all right let s go
all right let s go,and about time too
really that is wonderful,thank you for your warning
thank you for your warning,not at all
not at all,be careful of yourself
of course here you are,then what is special tonight
to buy or to rent,oh to rent
sure how about this one,is this the latest edition
what is the difference,the hardcover is more expensive
thank you,no problem
margaret mitchell,oh yes here it is
for pick up or delivery,pick up
what size,medium please
are you going home now,no i am not
taxi taxi,where to sir
yes they are,is it the rush hour
thank you for the information,do not mention it
one dollar,how many stops are there
how many stops are there,two stops after this one
never,never
where can i take it,two blocks down the street
where are we going,down to the basement
what are you watching,saturday morning cartoons
you re welcome bye,bye
i will thank you dad,i love you troy
ok i will,thank you very much
thank you very much,no problem
hello wendy speaking,hi wendy i m gerry
thanks bye bye,bye
excuse me,yes
good let s go now,all right
thank you good bye,bye
you will,oh
she will be next month,that is truly amazing
sure,she is a late riser
shall we share a taxi,where are you heading now
no problem step in please,thanks
mmm how much is it,single or return
single or return,return please
one way or round trip,one way
sure,where
where,go to window number eleven
go to window number eleven,thanks
,and your address please
and your address please,lincoln avenue
with cold milk,with cold milk
right here you are,thanks
thank you very much,you are welcome
what is the matter sir,have you been drinking
have you been drinking,no i have not sir
never,never
one dollar,how many stops are there
how many stops are there,two stops after this one
um,toast dear
toast dear,as you like
i m sorry jim,never mind dear
how much are they,they are
they are,i will take them
here s your change,thank you
no there s no need,can i print it
thanks very much,you are welcome good luck
the chicken is also nice,no i want the fish
no i want the fish,our special tonight is lobster
no i like the fish,what ever you say
oh must i,yes you must
excuse me sir,yes
where to ma am,the grand hotel
the grand hotel,the grand hotel
i will do my best,here s twenty dollars
here s twenty dollars,do you have small bills
no problem step in please,thanks
shall we share a taxi,where are you heading now
taxi taxi,where to sir
what a good idea,what kind shall we get
ok,where shall we go
we have not hurry up,all right let s go
all right let s go,and about time too
french dressing please,i beg your pardon
i beg your pardon,oh french dressing
we still prefer french dressing,will you say it again
excuse me sir,yes
yes,is this your car
is this your car,yes it is
what time is your appointment,it is at o clock
margaret mitchell,oh yes here it is
are you going home now,no i am not
to buy or to rent,oh to rent
thanks a lot,you are welcome
who is the author,charles dickens
thank you for the information,do not mention it
where can i take it,two blocks down the street
excuse me,yes
sign what s sign,there on the window
many thanks,not at all
okay mom,right that is good
how much is it,a week
who s calling,it s mike her boyfriend
let s blow on it,ok here you go
ok here you go,yummy yummy eat more
thank you dad,i love you
i love you,i love you too dad
okay put her through,thanks
i am grateful to you,it s a pleasure
may i try it on,go ahead
right over there,does it suit me
does it suit me,yes you look very nice
yes you look very nice,how much is it
that is sir,can you accept a check
what size do you take,size or
may i pick it up,of course
it looks good on you,do you really think so
what is wrong,it will not start
how much are you asking,dollars a night
how much is it,dollars a week
ok,come with me
and it s a brick,yes
what are you doing now,i am watching tv
what part hurts,the shoulder
i feel kind of stupid,why
guess where we ended up,i do not know where
hmm maybe i do,what
wow that sounds really good,mm it is
why,my id card is lost
what are you kidding,is there anything wrong
reading newspaper on the couch,how about daniel
taxi taxi,where to sir
sure,where
where,go to window number eleven
go to window number eleven,thanks
one way or round trip,one way
mmm how much is it,single or return
single or return,return please
you mean used cars,no ah single sellers
of what,afraid of making a mistake
dad,check the drawer
can it hold soup,maybe
joy chain elementary school please,will do
ok,what is the fare
what is the fare,it s yuan
it s yuan,keep the change
keep the change,thanks ma am
how do you like it,i feel totally refreshed
this time included,of course
of course,then yes
to buy or to rent,oh to rent
which color do you like,claret red
claret red,nice choice
for six months please,your name please
yes,got it bye for now
thank you yuan,here you go
what color do you want,black of course
really a foreign parrot,he can speak english too
that is unfair mom,what is up honey
bingo,it s just you
hey look out,what happened
where my car,no mine
no mine,thank goodness
your car is ready,good how much is it
good how much is it,yuan please
yuan please,that is expensive
medium please,anything for dessert
just a hunch sir,how much again
how much again,
sorry sir,why not
of course not sir,ok i will take one
there are four more stops,oh my god
that was really a nightmare,honey what is up
here s an interesting ad,how much is the rent
how much is the rent,the ad says plus deposit
the ad says plus deposit,when is the place available
how long will it take,it depends
yes,how is this going
where is the house,it is on spring avenue
it s a month,does that include utilities
so is there a refrigerator,yes it s brand new
it s a month,when can i see it
