questions,answers
of what sort,you are a private investigator
you are a private investigator,that is right
it s their presidential suite,great
specialty product,you are learning
you are learning,where does he sell it
how old are you,twenty five
twenty five,where are your parents
big date tonight,yeah guess so
hello,mrs christian tom welles here
hello,i am here
we are all like that,are you religious
are you religious,no
no,you should be
no,she just seemed depressed
what was she running from,i do not know
what is this,those are her belongings
those are her belongings,her belongings
none too discreet is he,no sir he is not
no you may not,okay fine
you alright,kristen
that obvious huh,then you saw him too
we have matching luggage,what
no,you are his sister right
it was freddy,enough of that crap
i do not get it,let me talk to you
t t thanks alice,earth to alice
what is wrong with me,your distraught it will help
what is it,oh god he killed them
something wrong with the stairs,avoid all contact day
avoid all contact day,what
excuse us dear,it s okay dan
hey wake up,huh
you are right,there you go love you
there you go love you,me too
hi beautiful,jesus do not do that
jesus do not do that,sorry babe
alice,i have got to go
but dad,now
how was the meeting,sobering
sobering,very funny
very funny,alice
where are we going,to take a picture
you do good work alice,so did dan
poor woman,no shit
they think i am nuts,that is their problem
who s jacob,my baby
my baby,what you named it already
then get out,mark
mark are you okay,yeah i am just aces
it s okay,stick around please
vomit,faint
you hear that,the sound again
yeah,listen hear that
seems to be all around,what about down
what about down,i do not know
excuse me skipper,yes griff
right u at u him,that is what i said
that is what i said,but what can we accomplish
what is the running time,thirty four seconds
determine extent of damage immediately,after torpedo room report
who with,dr neilsen he will be
he did,i am afraid not therefore
well i will be,i will be another
twombley involved,no
tell me,chub says you are fired
i plan to soon,how soon
how soon,this spring
we bought you,that was me
you heard the news,i hear twombley got shot
i hear twombley got shot,yeah
safety on,yeah
yeah,this way
this way,sun s gettin high
sun s gettin high,deers have ears too
i used to play ball,yeah
yeah,drafted by the red sox
drafted by the red sox,you played for the sox
you played for the sox,double a new britain
double a new britain,oh
really,they said
they said,hmm
if you get it,yeah
yeah,you might not kill it
you might not kill it,you think so
where would twombley get shot,in the chest
in the chest,no i mean whereabouts
you stayed away,yeah
what blood,on your sleeve
sure you did,what
what,saw him do it
no brag just fact,got you for bucks
that is illegal you know,i know
i know,you are a policeman
i want to go home,you can not
okay,fine
no,what do you want then
what do you want then,nothing
it s pretty old,it belongs to pop
it belongs to pop,pop
no,no what
yes,jesus why
it s not that,what then
what then,it s stupid
it s stupid,it s fun
why do they do that,do what
do what,you know
you know,break stuff
break stuff,yeah it s stupid
yeah it s stupid,i guess they are stupid
was it funny,to us it was
i will not you interested,maybe
maybe,you and mel gordon
you and mel gordon,could be
how you holding up wade,i am fine fine
something bugging you,yeah a few things
huh,i figured you already heard
yeah lots,see get your boots
see get your boots,hi honey
lillian,where is jill
did you get his number,i know who it is
i know who it is,good who
good who,mel gordon
mel gordon,i still do not understand
this is nuts,wade
strange,think they are alright
money,jack does not need money
call me,tonight let s get together
tonight let s get together,okay
you do not mean that,yeah i mean that
you okay,yeah
forget it,i am sorry
see you tomorrow maybe,you okay
you okay,yeah
for a while,how s she doing
how s she doing,okay she is fine
it makes me sad,can
coffee s perked,when did she die
when did she die,is she is dead then
whitehouse next time phone ahead,how s that
jack,the other guy
it do not look right,what
yeah,bang
bang,you and me
where is ma,she is coming
sleeping,you remember margie fogg
nothing,you no good pup
just do it,atta go
what about margie,what about her
yeah i guess,get some sleep
lillian was here in lawford,huh
huh,the night before the shooting
the night before the shooting,how was she
who,twombley
twombley,no shit
no shit,you think jack shot him
you think jack shot him,well it was an accident
rolfe,wade
daddy daddy please,jim for godsake
mom,yes dear
how you doing sweetie,been better dad you
daddy,alice i
alice,daddy
oooooh i am good,hey you guys back already
got it,stay cool
you read my mind,put your pilot on
put your pilot on,he is busy being dead
yes mr president,why
why,because it is my duty
that is affirmative,ga get it
remarkable aircraft remarkable,why did they do that
dead,how many others killed
how many others killed,nine
nine,any of us
we copy stand by tower,tower here
please tell me your name,maria maria mitchell
four,jim
jim,three
no,say something dear
yes,why do you enjoy it
now or he dies please,come on alice
stop,you will do it
what are you doing,flying the plane
you know what,what
where are we sending it,white house situation room
the fax machines,excuse me
excuse me,the fax machines
one,but
but,two three go
what is going on,we are under attack
we are under attack,where is my family
where is my family,we are handling it sir
this is the president,yeah right
it s open,do you see teem
shepherd,sir
you give me ulcers,that is my job
kruger sagittarius,commissioner aquarius
forget it i was reading,i was reading too
i was reading too,what is the story
did you feel that,yes i did
yes i did,felt like a large asteroid
dunn,sir
sir,you better take this
shut down accelerators,accelerators down
oveur,dunn
set,now
now,compute
you mean,that is right premature ejection
elaine,ted
ted,elaine what is going on
ted,not now elaine
not now elaine,ted
ted we are taking off,let me by elaine
ted what is wrong,ask simon
elaine,te
maybe,simon what are you saying
i think so,that is my girl
go ahead,you have great tits
negative,that is not possible
scraps,can i hold him
can i hold him,sure
sure,he is a boy dog
he is a boy dog,yeah
all right here,what
you are sure,i am sure
all right captain oveur over,poached not over over
which passenger is joe salucci,sixteen c why
sixteen c why,he is carrying a bomb
he is carrying a bomb,a b
captain oveur,mr kurtz i presume
what did he have,he had fish
see them elaine,uh huh
ted,yes
sluggish like a wet sponge,sluggish like a wet sponge
rain,and a little ice
and a little ice,and a little ice
i love you elaine,i love you
elaine,ted
we have a visitor,hello
bill bill good bye bill,good bye darling
you promise you will write,every day
hi,i am randy
roger,huh
roger,huh
excuse me sister,yes
you okay,yeah
in there,show me
you are cassandra,that is right
william harcourt,yes
kill them both,here
here,do it
how do i look,you look very good
what is this,it s harcourt
it s harcourt,harcourt is dead
shit,ss ai
we you have taken it,we all did
what was that about,nothing
stop the car,why
well let s roll george,to the to the beach
your health,ta ss trakyona
yeah i know the routine,you are married
you are married,was divorced
who is he,todd watson the assistant manager
uh matthew,back off george
back off george,but i
but i,i will handle it
why did you do it,why would i do what
get the picture,and that fits
nothing,nothing
ss kya ta,what is that
departmental policy,you
movement,position
position,can not lock up
can not lock up,talk to me hudson
you did okay bishop,well thanks i
how much time,plenty twenty six minutes
plenty twenty six minutes,we are not leaving
i will go,what
no there s no way,hear me out
still nothing from the colony,dead on all channels
what is it,i do not know
i do not know,proceed inside
sir,yes hicks
yes hicks,hudson sir he is hicks
hudson sir he is hicks,what is the question
the corner ready,do it
save it,sure hicks
ellen,do not be long ellen
locked,stand back
they will get us,maybe maybe not
it s inside the complex,you are just reading me
fuck you,anytime anywhere
range twenty meters,seal the door
thanks,uh what is next
and how are we today,terrible
that is right,can we dream
mommy mommy,right here baby right here
burke open the door,look
newt newt wake up,wah where are
yes a little girl,where is she
where is she,gone
gone,you mean dead
you promise,cross my heart
cross my heart,and hope to die
how many colonists,sixty maybe seventy families
sixty maybe seventy families,sweet jesus
what,the marriage
what does he look like,you might be disappointed
you might be disappointed,why
maestro,good morning
no,how do you know
where,in a harem
in a harem,what is that
what is that,a brothel
a brothel,oh
oh,a turkish brothel
is she a good fuck,what
no she is fine,i am so relieved
do not bother,what
what,do not bother
do not bother,i will be right back
what is it,i want to go
i want to go,where
now,yes
yes,why
i can not write it,why not
why not,it s killing me
no do not answer it,why
i am not telling you,why not
who was that,no one
no one,i heard voices
wolfi,yes my love
yes my love,these gentlemen are from salzburg
wolfi your father is dead,what
what,your father is dead
what does she want,i do not know
i do not know,well ask her
no,yes
what,tish i am tee
tish i am tee,eat
eat,yes
yes,eat my ah
that is stupid,why people fart backwards
why you,i was at hand
he asked me to stay,and i am asking you
come back tonight,tonight
tonight,alone
alone,what for
what do you mean,is not it obvious
originals,yes
he is terribly busy sir,i understand
am i interrupting something,not at all
not at all,where is our friend
oh yes,when may i ask
when may i ask,in three months papa
behold,behold
hey,hey
behold,behold
he is adorable,adorable
be careful,be careful
i said play,michael
upstairs,gertrude
just one year,who was your teacher
really,ah now here she comes
an interesting idea majesty but,yes
sire,well there it is
a flat majesty,ah ha
may i try it,majesty
yes indeed,and german
and german,oh yes absolutely german unquestionably
what on one hearing only,i think so sire yes
your majesty herr mozart,yes what about him
yes what about him,he is here
yes sir,well there it is
papa is this your idea,mine
why not,it s a secret
how is your financial situation,it could not be better
pupils,yes
yes,yes
yes,how many
why are you here,am i not welcome
where does he work,in there sir
yes thank you sir,bene bene
yes,are you herr mozart
are you herr mozart,that is right
leave that alone,wolfi
wolfi,put it down
put it down,what is this
yes,can i see it
can i see it,no
no,why not
well,sublime utterly sublime
sssh,stanzi manzi banzi wanzi
stanzi manzi banzi wanzi,sssh stay here
i am not leaving you,i am so ashamed
i am so ashamed,what for
you go fast,do you have it
do you have it,yes
yes and on wouldictis,yes
do you have me,i think so
i think so,show me
with the tenors,also identical
i think so,sing it back
the fire,what time
what time,common time
confutatis maledictis,we ended in f major
we ended in f major,yes
yes,so now a minor suddenly
consigned to flames of woe,do you believe in it
do you believe in it,what
oh yes,strange
strange,come let s begin
finish what,he knows he knows
shall i answer it,no no it s him
no no it s him,who
who,the man he is here
the man he is here,what man
do you mean that,i do
what work,a mass for the dead
a mass for the dead,what dead who is dead
how could i not,did my work please you
did my work please you,how could it not excellency
how could it not excellency,yes
grazie mio caro wolfgang,grazie a lei signor antonio
oh excellency would you,with all my heart mozart
with all my heart mozart,thank you oh thank you
of course not,do you have a daughter
do you have a daughter,i am afraid not
whom did they choose,herr sommer
dear mozart my sincere congratulations,did you like it then
did you like it then,how could i not
really,mio caro adone
mio caro adone,ah
you mean in turkey,exactly
what is this herr chamberlain,what is what
i did,no you did not
no you did not,i poisoned his life
i poisoned his life,but not his body
but not his body,what difference does that make
ah you have heard that,all vienna has heard that
all vienna has heard that,and do they believe it
and do they believe it,is it true
is it true,do you believe it
do you believe it,should i
where,here in vienna
here in vienna,then you must know this
what anger,about the ballet
about the ballet,ballet what ballet
well mozart is already rehearsing,incredible
are you absolutely sure,i have seen the manuscript
i have seen the manuscript,where
where,never mind
you mean that play,exactly
yes,you must be mad
bravo your majesty,well done sire
i can not wait,well promise then
well promise then,what do you mean now
bene,i will call tomorrow
the american yes duck,how did he look
what shall we do,tea would be nice
no why,is david acting strangely
is david acting strangely,no not really
yes,what did he say
did he say a wolf,yes i believe he did
oh miss price,yes doctor
dr hirsch,go about your duties
go about your duties,yes doctor
hopeless it s hopeless,david let s go now
but,pull over
do me an enormous favor,anything
but david,i was not hallucinating
alex,yes
of course,good
closet,charming
charming,bathroom
bathroom,lovely
lovely,the bedroom
the bedroom,there is only one bed
the kitchen,very nice
i was dreaming again,i would think so
i am a werewolf,a werewolf
will you come with me,what
how old are you,twenty eight
twenty eight,i am twenty seven
i am twenty seven,i know
shall i read to you,what oh yes please
what do you dream about,i dream of death mostly
aw come on miss price,call me alex
call me alex,aw come on alex
mr kessler,yes
it was not a lunatic,i beg your pardon
i beg your pardon,it was a wolf
it was a wolf,what
what,a wolf
how are we feeling tonight,no
no,no what
no what,no
no,i thought not
feeling better,no
no,right
hello benjamin,no
no,no what
no what,no
miss price,yes mrs hobbs
mr kessler wake up please,i was having a nightmare
there were witnesses,so they said
because this must be stopped,how shall i do it
you look awful,thank you
hi jack,hi david
what are you doing here,i wanted to see you
yes,get out of here jack
jack are you really dead,what do you think
it s you david,what
i am going completely crazy,david
david,what
debbie klein cried a lot,i can not stand it
jack,yeah
yeah,where are we going
it sounds far away,not far enough come on
see anything,no
nice doggie good boy,walk away jack
what is the plan,plan
plan,let s just keep walking
it s moving,it s circling us
yeah,a coyote
the hound of the baskervilles,pecos bill
pecos bill,heathcliffe
heathcliffe,heathcliffe did not howl
did you hear that,i heard that
i heard that,what was it
beware the moon,come on i am freezing
go on ask them,you ask them
right,wrong
hello,nice to see you
i assume full responsibility,okay
okay,shall we
jack,david
are you cold,yes
yes,good
excuse me yes,roger mathison doctor
roger mathison doctor,what here
what here,he is on the telephone
sorry love,i suppose guinness will suffice
remember the alamo,i beg your pardon
no,oh
yes sure,yeah sure
where is matt,matt
he has,yeah
yeah,let me have ten bucks
charlie,yeah
how much,about twenty four thousand
yeah,here s twenty five thousand
mr dickson in yet,not yet mr clark
oh,you understand
you understand,why of course
why matt,what are you doing here
what is that mr bones,a misunderstood bachelor
what is this,my apartment
well,well what
why are you so anxious,do not you know
do not you know,no
now,yes now
happy now,no
good morning helen,good morning
where is he now,in mr sampson s office
why well i,ummm stalling eh anything new
helen,yes
yes,mr sampson
mr sampson,all right send him in
good morning mrs pembroke,good morning mr dickson
good morning mr dickson,got my letter
got my letter,yes thank you
yes thank you,hello helen
oh make that uniform blue,yes sir
no i will not,you are protecting somebody
yes sir,mine too
is it safe,absolutely
what is keeping you,oh charlie again
with what,the ten dollars
the ten dollars,oh ten dollars
oh ten dollars,yes
hello helen,matt come here
matt come here,why
why,come here honey
did you say dude finlay,yes why
are you sure,yes sir
dude finlay,yes sir
what time was it,huh
then who changed it,i do not know
everybody in,i guess so
i guess so,where is charlie
how are you fixed,i am okay matt
i am okay matt,you have got enough
this is healing,sometimes a wound will kill
sometimes a wound will kill,now you tell us
i could not lose him,jim younger i told you
bob i did not,swear
swear,i swear
i swear,swear on jimmy s grave
how would they,what have you done
what have you done,i ai not done
i ai not done,what have you done
he is smiling,never a good thing
the army can hang him,tomorrow
corn gonna shoot at me,nope
nope,then i love it
he is planning a job,what
what you sayin boy,i think i recognize you
i think i recognize you,how
missed you cousin,missed you too cousin
bob rip up some bandages,pass me some whisky
dammit,a trap
i got seven thousand,i got three
the james younger gang,sorry
perfect cole,let s ride
she had a moustache,she was european
not now,what is wrong with you
ride with me cousin,i could use the walk
well,i am thinking
another dozen out back,they gonna rush us
shakespeare he is european,ah
which one right or left,the brown one
cannon or gatling,both would be nice
the safe now,of course uh sir
of course uh sir,what
what,where is jesse james
what the,what is it
web died fighting,died a hero
we are drunk,oh yeah
bob s upset,the posters
pinkertons it s the railroad,ma
you know him,heard of him
big and older,you can shut up now
you can shut up now,you are a charmer
that just might work,maybe maybe
web s dead,i reckoned
i reckoned,hell of a war
mm hmm,such as
uncle frank,yeah jimmy
can not argue that,so what was he
y know uncle frank,yeah jimmy
doc mimms will,shush
ma please,boys
did you kill yankees,a fair number ma
a fair number ma,say your prayers
do not swear,yes ma am
do not turn around,what
hmm,hmm what
me neither,let the law
sparkling rocks,little ones
jesse is that your hand,nuh huh
jesse are you awake,mmmm
i figured,was it worth it
i am not hanged yet,you cocky little bastard
you cocky little bastard,ahh you will miss me
last february,mmm
right here in church,communion
i like that,no
thank you miss,lyla devereux
this is him,i remember you
parker,sir
sir,what is that
what is that,what sir
then who did,we did
yes sir,just perfect
so he is won,no
patrick,yes
yes,nothing
is not that special patrick,yes courtney
that is nice,you and luis
i never knew you smoked,you never noticed
take it off,why
is it a what,pull out
pull out,i am ignoring you
i am ignoring you,pull out goddamnit
pull out goddamnit,what do you want courtney
are we here,yes
yes,this is dorsia
this is dorsia,yes dear
stop it i am,on a lot of lithium
pumpkin,yes
courtney dinner,i can not
i can not,i am thinking dorsia
i am thinking dorsia,dorsia s nice
dorsia s nice,nice
okay yeah what time,eight
eight,pick me up
nothing like last time promise,alright
where are you going,i am just leaving
i am just leaving,but where
we never really shared one,you are inhuman
he is rich,everybody s rich
everybody s rich,he is good looking
he is good looking,everybody s good looking patrick
everybody s good looking patrick,he has a great body
do what,get married have a wedding
get married have a wedding,evelyn
evelyn,yes darling
yes darling,is your evian spiked
is your evian spiked,we should do it
because he dated her,how did you guess
does not he live here,no he does not
no he does not,are you sure
it s just not,why not you stupid bastard
what exactly do you mean,the message you left
what is it,where are you going
call me please patrick,jesus lives luis
uh huh,it looks so soft
it looks so soft,your compliment was sufficient luis
leaving what,this
we are totally booked,oh really that is great
to the office this afternoon,why
why,just say no
patrick bateman s office,jean hello jean
jean hello jean,patrick is that you
patrick is that you,hello jean i need help
hello jean i need help,where are you
where are you,jean i am not
sorry,jean what
who s ted bundy,forget it
forget it,what is that
do you have a boyfriend,no not really
no not really,interesting
jean,yes patrick
patrick,can you bring mr
what is it,patrick
patrick,ye es je an
who,detective donald kimball
just say no,just say no
late,aerobics class sorry any messages
when,after six
after six,negative cancel it
a model an actor,no flattering but no
no flattering but no,well
next saturday,yeah
who,paul owen
she is my cousin,uh huh
uh huh,she is from france
and,i have questioned him
i have questioned him,marcus
but marcus denied it,yes
have you consulted a psychic,no
no,had his apartment been burglarized
nothing,people just disappear
we were both seven in,so was i
actually yes,hmmm
do you feel that way,no not really
no not really,where did paul hang out
where did paul hang out,hang out
hang out,yeah you know hang out
you sure,no problem
bad habit,i know i am sorry
who do you ask,you seem nervous
shoot,how old are you
harvard the harvard business school,your address
nice very nice,thanks
understandable lime,no really i am okay
oh no i am okay,it s no problem
coffee,no i am okay
no i am okay,perrier san pellegrino
perrier san pellegrino,no i am okay
what am i gonna do,listen what is your name
listen what is your name,al
al,speak up come on
speak up come on,al
hey halberstam,yes owen
no owen,is that a raincoat
is that a raincoat,yes it is
make him,you know what i mean
you are a fanatic,gonna wait outside
wanna savor this,it s gonna get cold
it s gonna get cold,right wait a toast
here we go,great
look at this,what
that was different,different
why,remember lyle barton
nothing,nothing
whaddo i do,so you believe me
what,teddy was killed last night
teddy was killed last night,what are you what
what are you what,it was a hate crime
is it your software,is it your dish
milo i am danny,oh hi
that is great thanks,sorry about the late notice
gary hi,you look a little tired
have a look,sure
did you,talk about work never
i heard what happened,were the flags for teddy
what are you implying,nothing
milo what is up,well you sent for me
well you sent for me,right right
ready for number three,let s go
let s go,longitude
longitude,wait he knows
wait he knows,what
gary,just do it
okay,longitude degrees minutes
i think you should go,you do
come with me,where we going
you calling phil and randy,i am calling gary
every entry was authorized,keep looking
keep looking,what are we looking for
what are we looking for,any irregularity in the pattern
he knows,what
maybe it s the satellite,let s try
i told teddy about you,what would he say
you mean break in,i do not know
how close are you,what
milo,hmm
they would frame him,he is out of prison
why s that,long story not that interesting
did you wanna be alone,no please
lisa,you know my name
you know my name,you know mine
you know mine,you are famous around here
i do not know,did you tell alice
is that how larry feels,uh not exactly
speaking of which,yeah yeah
who are these guys,where is he
is it about my teeth,yes
to my health,kiss me
or sometimes not at all,care for some saki
care for some saki,sak i it to me
may i wash you,groovy
hey how are you,hungry
yes basil,be careful
yes basil,be careful
be careful,thanks
what is the other,excuse me
carnies,what
thank you basil,oh and austin
oh and austin,yes
yes,be careful
be careful,thank you
thank you exposition,oh and austin
oh and austin,yes
yes,be careful
thank you exposition,oh and austin
oh and austin,yes
yes,be careful
be careful,thanks
good luck austin,thank you
thank you,oh and austin
oh and austin,yes
yes,be careful
good on ya man,groovy
lay it on me,i love you austin
kiss me,behave
are you crazy,do not worry
shut up,fair enough
does that make you horny,not now austin
who,you know who
only sailors use condoms man,not in the nineties
you are smashed vanessa,i am not
i am not,oh yes you are
i am sorry,why
sure,do i make you horny
do i make you horny,what
excuse me,my wedding tackle
my wedding tackle,i am sorry
i am sorry,my meat and two veg
ow you shot me,right okay moving on
sea bass,right
right,they are mutated sea bass
they are mutated sea bass,really are they ill tempered
really are they ill tempered,please allow me to demonstrate
quite impressive,thank you herr doctor
my son,yes scott
blow me,what did you say
what did you say,show me
i am proud of you,why
great,how s austin
how s austin,he is asleep
he is asleep,you did not
no he is really evil,scott
nature,preserve
preserve,secret
secret,love
love,hope
hope,love
love,fear
fear,love
love,peter
flower,power
knight,black
black,death
death,love
love,death
bottle,red
red,head
promised who promised,there look
you,have we met
you are female,as you see
may i help you madam,mr john steed please
people too,then who wins
sir august sir august,eh in here
hmmm,looks like rain steed
what are my choices,choices
choices,i will never marry you
dr darling peter all you,an unholy trinity
an unholy trinity,you killed my husband
good luck peter emma,thanks valentine
our chaperon,pity your mother came too
a fine night mrs peel,still a bit chilly
mrs peel,what kept you
i will be back,where are you going
you first,shall we
why s he called invisible,you will find out
no after you,you do not trust me
but you did suspect me,not for a moment
not for a moment,you are playing games
i thought you did not,i am playing to win
i am playing to win,winning is not everything
mmm what are you doing,keeping a stiff upper lip
keeping a stiff upper lip,is that all
no trouble,because you always obey orders
because you always obey orders,always except
you followed me,orders
orders,to kill me
to kill me,nothing personal
steed,mrs peel
what on earth,any ideas
no thanks,i meant me
do you,yes indeed i need protection
i did not mother did,mother
privately owned by,let me guess wonderland weather
let me guess wonderland weather,very good mrs peel
i was getting to it,getting to what
who s now vanished,makes two of us
peter s brother but,half brother to be precise
steed,how did you guess
oh hello,we want mrs peel
we want mrs peel,dead i am afraid
where,in your operation
guilty until proven innocent,mother and father know best
anyone particular in mind,you
amnesia,possibly split personality
possibly split personality,insane
wonderland weather ltd,this way
you with mother or father,both actually
no please i beg you,walk over to the window
you said one shot,did i my mistake
if you say so,i do
bang bang you are dead,you wish
what is happening,debbie s marrying rick
debbie s marrying rick,really
what,you are kidding
great car,the best
the best,i love that car
