questions,answers
anything else,that s everything
that s everything,i need your library card
do you need anything else,that s everything
i know and i will,when
when,after baseball practice
probably my parents,how so
i see,what is the weather like
okay it looks like rain,why do you say that
why do you say that,the sky is gray
the sky is gray,is it raining right now
is it raining right now,no
no,how do you know
how do you know,the street is not wet
do you like ice skating,i have never tried it
friday then how about it,friday is great
friday is great,it s settled then
have you got it now,yes i found it again
yes i found it again,when
when,this morning i mean
it s may st,what day is that
you and bob have finished,yes
hello mary,hello brian
hello brian,here is my friend bob
here is my friend bob,hello bob
hello bob,are you free tonight
are you free tonight,depends
tell that to my boss,do you know abraham lincoln
do you know abraham lincoln,yes
hello,oh hi
see you around,goodbye alice
what of it,sure
i m returning these books,let me have them
let me have them,here are all of them
how much,cents a day
cents a day,cents a day
hello,hi vicky
hi vicky,are you there yet
are you there yet,yes
where are you,on the second floor
come upstairs,what
ok see you soon,bye
ok goodbye,see you later
you mean lily s boyfriend,yeah
who s that over here,that is the new teacher
she is very nice,what does she teach
what does she teach,english of course
english of course,is she your teacher
really i m surprised,me too
see you,how s the weather today
how s the weather today,it s cloudy
oh you re so kind,get in
so do i,have you graduated from college
how about this weekend,yes i think so
yes i think so,happy thanksgiving
happy thanksgiving,you too
you too,let s have pumpkin pie
let s have pumpkin pie,it s my favorite
for how many guests please,six
thanks a lot,i went bungee jumping yesterday
i went bungee jumping yesterday,that sounds like fun
thank you very much,what are you doing
let me see it,what s the letter about
tell me what it says,i didn t get in
i didn t get in,you re lying
you re lying,i m not lying
i m not lying,are you upset
no we couldn t possibly,why not
she is really something,hello this is david
uh what game,baltimore defeated texas by points
it spoiled my painting,how annoying
how annoying,what is the matter
who did the stupid thing,it must be kate
hello,hi tina it s joe
hi tina it s joe,hi joe
i could not come,why not
why not,i was not feeling well
i was not feeling well,here they are
great minds think alike,did you pass the test
did you pass the test,no i did not
i do not think so,what should we do
ok where and when,in my staying hotel
i don t think so,why is that
give me a call tomorrow,okay
i do not care,you are complaining again
what will the girls do,they give chocolate in return
just watching some tv,anything interesting on
happy new year bill,happy new year steven
we have a country house,that is nice
that is nice,join us will you
how s your work,good thanks how about you
why,because of the low salaries
sorry not tonight,do you need a hand
i am with you jane,what did i just say
are you kidding,hello
well how about friday then,that sounds fine
fine just fine thanks,doing anything for lunch
yes,welcome my name is johnson
welcome my name is johnson,nice to meet you
okay,what are you doing
yes what about you,me too
really i will try again,nice to see you patrick
congratulations,thanks
it s a deal,see you in the court
hi tina it s joe,hi joe
ok,merry christmas
merry christmas,huh
haha wish you good luck,i think that s settled
hi dave this is zina,zina zina the snake
certainly,thank you very much
oh it s fantastic,where did you go
who did the stupid thing,maybe it was dick
now you are talking,you are so witty
it lasts for months,when does it start
what time is the class,from to o clock
from to o clock,how much does it cost
how much does it cost,it costs dollars a month
when is it due,next monday
what is wrong,it will not start
i suppose i do,the climate here is pleasant
the climate here is pleasant,they use said it
maybe,that is for sure
sometimes they are too independent,how are you making out
do not mention it,happy birthday mary
happy birthday mary,thank you
all right,how about some fish
wedding rings,oh no
oh yes i would,how s business
how s business,so so
how much is the ticket,dollars each
oh i see,hi ann
what day is today,today is thursday
today is thursday,what is the date today
what is the date today,today is may first
i wish he could too,how s your boy jack
guess who i saw yesterday,i do not know who
i do not know who,avril lavigen
merry christmas to you,you re new here right
you re new here right,yes i am
i transferred from pcc,why d you transfer here
is pcc a good school,pcc is great
for the wedding,no no for the engagement
at seven please,how many in your party
how many in your party,a party of three
are you ready,not yet
that is more like it,tell me about it
what exactly,how to apply for it
what is the temperature today,it s about degrees centigrade
er alison,ohm hello marcia i was
i do,you owe some money
could you help me,what do you need
really good for you,let s play a game
let s play a game,ok how about scrabble
your future husband,not funny
thank you,this is our courtyard
ah not on me ow,hello
hello,hi angela it s dan
hi angela it s dan,hi b how are you
hi b how are you,good
oh is that next week,yes did you forget
really,yes really
yes really,how much do i owe
how much do i owe,you owe in late fees
how about saturday morning,sounds good
i love running anything else,please change your clothes first
ok thank you,is that girl your girlfriend
is that girl your girlfriend,no it s not
happy new year,thank you same to you
thank you same to you,have you got any plans
oh but why,i feel they are dirty
really,and not expensive either
everybody is buying them,are they
how was school today dominic,i hate school
i hate school,why what happened
they have moved to chicago,why
is that all,that s all
what films feature him,many
he s nearly,good gracious are you sure
thanks daisy,what is your email address
what is your email address,it s bulldog
yes,no that is incomplete
no that is incomplete,what do you mean
what do you mean,what is your mailing address
what is your mailing address,cherry drive pasadena ca
cherry drive pasadena ca,that is correct
that is correct,so what is the problem
what about a factory tour,you mean visit a factory
what are you guys doing,just having a chat
are you married,yes is that so important
morning tom,hi mary
yes i packed it myself,wow that looks beautiful
what about historic festivals,thanksgiving day independence day
and he is so handsome,where is bob
yes that would be good,oh no
oh no,what is the matter
of course bamboo,that is right
how about this sunday,ok cool
no problem,bye
bye,great party isn t it
great party isn t it,yeah really
by train or by plane,by plane
what teams are playing tonight,ac milan versus real madrid
is it stimulating,yes i got very excited
how come,i do not know
happy birthday aims,thank you lisa
great that is settled then,ok
give them here,here they are
merry christmas,the same to you
the same to you,are you doing anything special
ummmph,what are you doing
i think you re right,what is today
what is today,thursday
i really appreciate your help,who is that guy
really he is my type,he is everybody s type
he is everybody s type,what position does he play
where is your hometown,shandong
sounds good let s go,bob is really handsome
the hours are from am,okay thank you very much
okay thank you very much,do you need anything else
do you need anything else,no that s all thanks
what he said disappointed me,what did he say
what colour is it,it s red and black
the boy threw up,that is disgusting
cheer,cheer
cheer,so what time tomorrow
where to meet,in the market
in the market,ok bottoms up
ok bottoms up,bottoms up
bottoms up,it s on me
kebabs and roast squid,can i have a bite
can i have a bite,help yourself
help yourself,super
super,can i help you sir
are you serious,yes are you traveling here
where,at the gate
at the gate,when did you say
when did you say,round about seven
round about seven,who s coming
that sounds great,how s it going
i see i will try,good luck
they are all good,hi sue what is up
beth what date is today,today is saturday
today is saturday,what is the date today
what is the date today,today is july th
you are dancing so well,you dance beautifully too
what s happening,the ladder s falling
the ladder s falling,what s mr king doing
matinee or evening,evening
evening,circle or stalls
circle or stalls,stalls
are you serious,yes i mean it
but i still love you,i m sorry
next june,i can hardly believe it
good,would you like to come
would you like to come,do you mean this saturday
do you mean this saturday,yes this coming saturday
yeah that s too bad,well perhaps another time
that is too bad,maybe some other time
my pleasure,this is it
what is today s date,it s january
it s over,what is over
any reasons,the cause is another boy
the cause is another boy,oh that s too bad
i will finish soon,did you lock the doors
it s boring right,sure
i totally understand,how s your thesis going
i m sure i will,have a nice journey lily
have a nice journey lily,thank you david
you are a pessimist,i am a realist
see you borrow,hi mike what gives
hey great set of wheels,you like it huh
i would love to,ok let s go
good morning mr jones,good morning miss bell
good morning miss bell,nice to see you again
how is everything,just fine and you
just fine and you,quite well thank you
your english is fluent,thank you
hello betty how are you,quite well tom and you
i like rock a lot,who s your favorite group
of course,you want something to drink
you want something to drink,yeah got a coke
yeah got a coke,sure
how about tomorrow,ok
maybe it can take effect,are you ready
are you ready,yes
okay thanks for your help,see you later alligator
see you later alligator,in a while crocodile
who made the first move,i did
i did,wow
wow,it was no big deal
i am signing off,have fun getting ripped off
have fun getting ripped off,have you met john
what are you thinking about,about my boyfriend
about my boyfriend,again
more than six years,that is a long time
what is new with you,do you still remember justin
so how s your work,good how about you
you re right,hello
thank you for saying so,where did you buy it
how much is it,it s only thirty yuan
i know what you mean,paul sends you his regards
paul sends you his regards,how nice of him
this is my friend jenny,what is her last name
what is her last name,it s snow
it s snow,what color are her eyes
what color are her eyes,they are blue
they are blue,what color is her hair
what color is her hair,it s brown
it s brown,how old is she
how old is she,she is
small please,here you are
here you are,thanks
thanks,you are welcome
i will do,what is this then
all right,here comes jordan though
happy anniversary honey,i thought you had forgotten
dark blue,how old is she
how old is she,twenty
really you live in taiwan,yes why not
i started at pcc,what made you transfer
did you like pcc,i loved pcc
i loved pcc,good luck here
how about seven,ok
ok,i will pick you up
i will pick you up,thank you
what are your hobbies,sports
sports,like what
like what,basketball and swimming
good luck,thanks
ah does she wear glasses,yes i think so
yes i think so,that is probably anne wallis
no just occasionally,what are your favourite dances
what are your favourite dances,i love rumba and waltz
i love rumba and waltz,how about samba
ok see you then,see you then
sorry i can t,tomorrow night then
no i d better not,why not
yes i did,it s really good
how is your new car,perfect could not be better
yes i will,how s your business
yeah you can make it,how are you sue
congratulations on your success,thank you
thank you,and how s your brother
and how s your brother,he is fine
hopefully you will say yes,may i help you
will that be all,that s it
thanks have a good one,suit wrote me a letter
suit wrote me a letter,what did she say
you bet,hey what is up
candlelight in the window,should we go see it
when are you going,sometime next month
sometime next month,i need your help bob
i need your help bob,what is the matter
i am impressed,are you scared of anything
look out,what is it
you really have keen eyes,i have a problem
i have a problem,what is the problem
oh andrea the spanish girl,yes that is her
really that is wonderful,thank you for your warning
thank you for your warning,not at all
not at all,be careful of yourself
hello janet,good morning pete
good morning pete,and what is this
when did you buy it,last saturday
last saturday,can i see the receipt
can i see the receipt,yes here you are
bye take care,you too
jack what are you doing,i am reading
okay it sounds good,how s your trip going
i am not a vip,you are too humble
really where did you go,we went to europe
after you,no after you ladies first
no problem see you,see you
a what,a vet a veterinary surgeon
a vet a veterinary surgeon,good gracious what is that
hello michael,hello todd
what is wrong,nothing really
yes,and no hijackers
do you speak spanish,yes but not fluently
that is a problem,do you like traveling
how did you like it,it s fantastic
it s fantastic,where did you go there
yes a lot of friends,you must enjoy yourself
hello chandler how are you,fine and you
hey guys,hi nicole
hi nicole,how s business
wow i am impressed,how about you
let s keep in touch,sure let s goodbye then
sure let s goodbye then,shakespeare was born in
,how is he
yes i have,when
when,ten days ago
yes he will,that is fine
that is fine,what is the score
i would love to,which day would suit you
which day would suit you,any day except tuesday
any day except tuesday,how about thursday
is it formal or informal,i guess it s formal
i guess it s formal,then you should dress well
then you should dress well,that s right
ok,what is his job
,what about your brother
what about your brother,he s not quite
he s not quite,do you miss your family
the giants,yeah
yeah,well here we go again
he deserved it,hello is jack there
hello is jack there,speaking
speaking,jack it s rose here
jack it s rose here,hi rose how s everything
that s fine,please fill out this application
please fill out this application,then what do i do
you are lucky,guess what
guess what,what
you are my hero,aw shucks ma am
a match made in heaven,what s your city like
good afternoon mr green,is he in
who wrote it,mario puku
twenty,nice day is not it
i go to pcc,do you like it there
good luck with school,thank you very much
nick how s it going,oh hey
engaged,come on
come on,are you crazy
are you doing anything tonight,no nothing why
no nothing why,do you like western music
do you like western music,yes i do very much
please,not a chance
not a chance,not even for an hour
not even for an hour,sorry it s impossible
yes yesterday,good gracious that s incredible
good gracious that s incredible,she married jerrod
she married jerrod,you re kidding
really i m surprised,it was great meeting you
it was great meeting you,me too
i do not believe you,take my word for it
i m down in spirits,what is up
how is everything going on,fine
fine,you look prettier than before
you look prettier than before,really thank you
how have you been,fine thank you and you
how old is he today,it s his th birthday
likewise see you later,bye
bye,good afternoon
good afternoon,hi how are you doing
hey what is up,oh nothing
oh nothing,what were you writing
thanks i plan on it,so what happened
so what happened,he never came
he never came,he stood you up
a gold watch,do you like it
it s my dream,hi sue what is up
ok that s fine bye,what happened
oh it is precious,it surely is
you are mary right,how did you know
salesman,yes that is right
ok what is your number,it s
thank you,bye
bye,bye
is everything ok,just get over here
just get over here,come in quickly
i could not careless,would you rather stay home
would you rather stay home,whatever you say
yes please do that,do bullfights interest you much
i am not surprised,what is the problem
would you i would not,what would you do
i can not see it,have you seen harry
how s your new car,perfect couldn t be better
how are you these days,fine thank you and you
that sounds great,yes i am really excited
i have an idea,what is it
you don t love me,no
that sounds great,good morning miss wang
good morning miss wang,good morning mr li
what did you get,a b plus
a b plus,that is not bad
thanks bye,you are too picky
i can not do that,why not
really,yes
is not there anything else,i have no idea
hi mark,oh hi stacy
oh hi stacy,how was your summer vacation
lisa i am home,how was your day
is it difficult to learn,no it is easy
no it is easy,how should i do
how should i do,you just follow me
how about tomorrow night,ok what time
ok what time,is pm all right
all right see you tonight,see you
how is aunty shirley,could not be better
could not be better,how has may been
what s it for,it s for a book
what time is your appointment,it is at o clock
i m going to need,that s not too expensive
that s not too expensive,it isn t
it isn t,here s the
here s the,thank you
three days,when will you be back
when will you be back,on friday
yes,and a white sports car
and a white sports car,um that s good
what is new,nothing much
ok i lost pounds,i am frustrated
i am frustrated,what is the problem
bread,and milk or orange juice
and milk or orange juice,orange juice
do you have clubs,no can i rent clubs
no who won,it s george
but grandpa will be working,it s saturday
it s saturday,i almost forget
i want to say,say it what is it
i really love you,no i shall faint
i told you so,hi what is up
gotta go call me tonight,okay check you later
what is he doing,he is fixing his roof
i think it looks gorgeous,you think it looks nice
the craftsmanship is excellent,all the parts work
all the parts work,thank you so much
thank you so much,do not mention it
yes thank you,here s some sugar
here s some sugar,thanks
thank you for your letter,is your waist any better
you are really confident,this is my uncle charles
he is a captain,he must be very brave
he must be very brave,exactly
exactly,how s your brother doing
what are you doing awake,i can not sleep
i can not sleep,but it s almost midnight
yes don t you,of course i do
that sounds good,ok let s go
i will think about it,is that your new bicycle
that s too bad,thank you for your hospitality
thank you for your hospitality,thanks for coming
good night then,see you tomorrow
okay here i go,good luck
what for,to lose some weight
what date is it today,why
you know what i mean,yeah i know
sounds good see you there,how old is keith
in the same way probably,is this seat taken
is this seat taken,no please sit down
no please sit down,thanks
thank you very much,i love ice cream
fine thanks,but you look depressed
is it serious,i can solve it thanks
i can solve it thanks,how about your family
can i help you pack,sure thanks
that is a notebook,believe it
the climate here is pleasant,you said it
see you,see you
ben cancelled his trip,how come
which team won,the spur
the spur,what was the score
what was the score,they managed a victory
do we have enough time,yes we do
yes we do,the performance is excellent
i will think about it,is that your new bicycle
how does sound,fine see you later
fine see you later,how are you
how are you,fine
i ve changed my mind,why is that
maybe you re right,hi how are you going
goodbye,you ready
you ready,am i ready for what
i m very nervous,why are you nervous
that s not a problem,that makes me nervous
how is your business going,business could not be better
her acting is ok,i mean her personality
i agree with you,hope that works for you
that was a nice funeral,yes dad it was
sure what time,the film will start at
i am kind of nervous,nervous why
frightened you must be joking,good morning phyllis seymour speaking
oh he had fooled me,hello can i sit here
hello can i sit here,yes
hi my name is jessica,nice to meet you
hi how are you doing,good thanks how about you
okay see you around,take care
you can call a mover,how much dose that cost
how much dose that cost,around rib for a truck
wonderful,it s
she is pretty conservative,is her fiance taiwanese
is her fiance taiwanese,yes
yes,how old is he
how have you been,fine thank you
sign what s sign,there on the window
it s really very good,why do you say that
that will be fine thanks,do you have any ketchup
i did that,what came up
i appreciate your help,what happened
what happened,it was just a misunderstanding
how about the yellow mountains,good idea
i checked it already,do we have it available
do we have it available,it wasn t there
it wasn t there,i guess it is lost
i hope it works,well good luck
yeah yeah whatever,how did your vacation go
how did your vacation go,i traveled the three gorges
i sure will thanks,hello how are you
i don t know,please think it over
please think it over,oh i see
no thanks i am full,another piece of meat pie
how about the dessert,ice cream please
hello i am jason,hi my name is dolma
hi my name is dolma,nice to meet you dolma
nice to meet you dolma,good to meet you too
you look so young,really thank you
no why,there s a typhoon coming
there s a typhoon coming,no way
sure here you go,thanks
it ended in a tie,what was the actual score
what was the actual score,it was three all
when is your birthday,august st
yes that would be perfect,see you tonight then
of course here you are,thank you very much
yes we are,when are you getting married
when are you getting married,in the spring
i just got fired,you asked for it
you asked for it,hello
really,and not expensive either
hi alex,where have you been
it was hours,did you have a layover
did you have a layover,yes in paris france
wow blablablabla,hey what is it
thx bye for now kisssssssssss,c u here honey
c u here honey,hello kevin
i like orange better,why
you hurt ben s feelings,so
yes i finished last friday,you sound relieved
you are quite right,hi how are you doing
hi how are you doing,everything s great and you
tomorrow morning try it,no problem
you want to bet,yeah what t the bet
professor where is canada,canada is north of here
ohio,ok where is los angeles
of course,thanks john
thank you,what is your number
what,my acceptance letter to yale
not bad thanks,good see you
good see you,bye
bye,you like movies
what are their names,jack and stephanie
jack and stephanie,how old are they
how old are they,stephanie is and jack is
stephanie is and jack is,are they in school
what does stephanie study,she studies english
she studies english,is she here now
is she here now,no she is at school
that explains it,mrs schmidt what is happening
i am sorry i overslept,hello jack here
ok bye,bye
bye,it s snowing outside
it s snowing outside,oh how could it be
well it looks very nice,thanks
that s right,who s this
who s this,guess
yes why,nothing i am just asking
i am going to study,on a friday night
thanks a million,do not mention it
even her mother,yes even her mother
yes even her mother,what is her personality like
what is wrong with her,she is expecting
she is expecting,congratulations to you
congratulations to you,thank you
business management,that sounds interesting
yeah is not she hot,she is alright
she is alright,just alright she is hot
ok already i will try,how about a movie tonight
i couldn t careless,would you rather stay home
i immigrated here last year,what do you do
well thank you for coming,so see you
so see you,bye
bonjour,what
what,i said bonjour
what time do you have,a quarter past five
nice meeting you too,my eyes water continuously why
so do i,we waste a vacation
we waste a vacation,maybe you are right
maybe you are right,who did the stupid thing
yes of course,so tell me about it
i am moblogging,moblogging what does that mean
why are you laughing,i can not help it
i can not help it,well how was your honeymoon
yep and it breathes see,it s not breathing
i like taking photos,really
does it happen often,no
no,paul failed again
how can we help him,well i can not help
i will,are you a smoker
yeah man i m starving,are you a newcomer
that is right,how old is she
what does she look like,well
well,pretty is she
pretty is she,yes quite pretty
yes quite pretty,are you free tomorrow sam
are you free tomorrow sam,yeah what is up
i like to stay here,why
never,really
no problem,thanks a lot bye bye
thanks a lot bye bye,you are welcome bye
you are welcome bye,whose handset sounds so beautiful
no not yet,who composed it for your
mr rogers,mr yes
thanks cheers,cheers
of course here you are,thank you very much
yes i love it too,who was the director
guess who i saw yesterday,who
shall we take a chance,yeah let s do so
yeah let s do so,it s moving so slow
france is he crazy,what do you mean
you should have kept trying,merry christmas lily
merry christmas lily,the same to you joey
so do i,look my clothes are wet
look my clothes are wet,mine are wet too
the dai people are enthusiastic,yes
certainly go ahead,what are you doing
what are you doing,i am surfing the net
not at all,jack and mary broke up
but my rose is great,your rose is a fool
your rose is a fool,really mary you re horrible
near sighted,hey mary what is up
what are you major in,i major in japanese
look at the cloud,it s going to rain
it s going to rain,let s go quickly
do you like flowers,of course i like flowers
of course i like flowers,what is your favorite flower
peach blossom is really beautiful,yes how about you
yes how about you,i like lotus
i like lotus,you have a perfect taste
where are you from,i am from canada
what is wrong,my hair looks hideous
i am hurrying,what are you doing
table tennis,do you play table tennis
the snow is so beautiful,give me scotch please
give me scotch please,what brand
what brand,black rose
black rose,soda or water
yes she is,does she teach chinese
are you an american,yeah
when will we begin,how about tomorrow night
how about tomorrow night,that is all right
that is all right,your muscles are a spectacle
fine,you are an eager beaver
lily do you know lizzy,lizzy who
lizzy who,lizzy smith
lizzy smith,of course i do
you mean mary,yes
can you please show me,i can do that
i know what you mean,really
of course,could not be better
could not be better,excuse me supen
excuse me supen,i hope nothing is wrong
not at all,hello can i help you
he is so humorous,where are you from
where are you from,i am from germany
a little french,good
good,what are you reading
what are you reading,gee you scared me
no i did not,what a pity
what a pity,do you like nba
do you like nba,yes of course
kobe,so do i
i know the perfect place,good where is it
mr hello mary,hi
is this your best score,no once i did
no once i did,hi where have you been
it s greek to me,watch out patrick
that is exciting man,so how did you propose
i never thought about that,thought about what
nice to meet you too,it seldom rains this summer
parker,oh parker with a p
oh parker with a p,yes with a p
yes with a p,er i m barker
hi kate,hi don what a surprise
yes very good,what advantages does it have
yeah,that s my brother
i do not know,really
it is not true,look at my eyes
me too,how do you like waltz
happy valentine s day,that is nice of you
how about at,sounds great see you then
what happened to john,he quit
have you seen this,what
what,they killed another hostage
oh sure,how have you been
wow that is really old,yes i like collecting antiques
what a pity,did you enjoy the movie
come off it,you want a bet
you want a bet,why not
macrohard eh,what do you do
vodka martini,absolutely
it s too late,hello is this ann
hello is this ann,yes it is kelly
yes it is kelly,yes it s me
yes it s me,do you have a cold
hi bob how s business,just okay
yeah,are you sure
did you have any hobbies,yes reading is my hobby
are you in love,why
well rose,is there something you need
is there something you need,are your free this weekend
oh my god,what
wait for me,okay take your time
okay take your time,can you believe the headlines
can you believe the headlines,what are you reading
yeah i quit,why
good morning kevin,morning lee how are you
morning lee how are you,very well thank you
yes it s really savory,thank you for appreciating it
but the parking might be,you bet
well take care of yourself,thanks for everything
thanks for everything,do not mention it
about dollars,that is no problem
it s raining,oh no not again
very much what time,about
glasses,no
no,what about his hair
what about his hair,black or dark brown
black or dark brown,long or short straight curly
french dressing please,i beg your pardon
i beg your pardon,oh french dressing
we still prefer french dressing,will you say it again
really,yeah
my father failed in business,oh that is really tough
thank you,how did you two meet
because it rained last night,did it
thanks for reminding me,you are welcome
hmm good exercise uh,yeah absolutely
i am falling in love,what with who
is it a used one,yes it is
ok george bye,bye ann
hi ed what is up,nothing
woo easy,leave me alone
maybe i could help,i blew the finally exam
i blew the finally exam,you have got be joking
you have got be joking,no i am not
certainly,when did you start it
when did you start it,several years ago
that s should be fun,hello jack here
okay bye,bye
when do you start,i start next monday
you are right,how time flies
it is free on weekend,that is great
that is great,here is a guiding plan
what date is today,why
do not be silly,i am serious
that s all right,what a terrible house
sink,oops i meant think
this one,that s my index finger
that s my index finger,oh right this one right
he won the first place,good boy
where are you going now,to the beach
what a hot day,yes summer is coming
the same to you,that is great
coffee please,so you also like coffee
ok what time,please
please,it s yuan please
you mean lily s boyfriend,yeah
so they say,when are you returning home
are you cold,yes a little
you can wear more clothes,hello how are you today
they are my family,so you have two brothers
oh that is too bad,yeah i really like lesley
thanks a lot,are you elvin
are you elvin,elvin dixon who are you
nice to meet you too,please come in
don t hold your breath,are you busy next saturday
are you busy next saturday,no why
does that help you faith,yes
thanks a lot,thanks for the loan
thanks for the loan,think nothing of it
yesterday was april the first,was it quite special
who won,they did
they did,what was the score
what was the score,seventy to sixty seven
may i help you,i m returning a book
i m returning a book,do you need anything else
i get it thank you,hi how are you doing
hi how are you doing,everything s great and you
what do you do,i am a teacher
i am almost hungry,great party isn t it
how much,it s only
it s only,that s not too bad
that s not too bad,i know it s not
thank you for your payment,you are very welcome
well there is one thing,what is the matter
what is so special today,why
oh it s clive,wow good timing
come on two is company,so what
when,about o clock
are you ready to go,i am clear so far
have you checked the database,i checked
i checked,was it on the shelf
i sure will,thank you very much
you re all set now,oh thank you so much
oh thank you so much,really it was nothing
really it was nothing,i really appreciated it
i really appreciated it,i was happy to help
sounds good,what time is it tom
but it s very tired,i do not care
i do not care,what is your parents opinion
is this seat taken,no please sit down
