questions,answers
i believe such things won t be realized just daydreaming,do you like traveling kathy
or getting stuck in traffic jams when you re driving,exactly
exactly,your house is too small why not buy a big one
your house is too small why not buy a big one,i do wish i could afford one
how do you do prof smith,how do you do ms yang you speak very good english
how do you do ms yang you speak very good english,thank you i begin to like english even when i was a child
thank you i begin to like english even when i was a child,where did you learn it
it s amazing,do you want black or white coffee
do you want black or white coffee,white please
white please,look there s a folk concert tomorrow evening do you want to go
look there s a folk concert tomorrow evening do you want to go,i do not like folk music very much
i do not like folk music very much,what kind of music do you like
what kind of music do you like,i like classical music do you
i like classical music do you,not very much classical music sends me to sleep
not very much classical music sends me to sleep,i do not believe you
i do not believe you,it s true
it s true,you are funny
you are funny,so are you how about another coffee
so are you how about another coffee,what do you like to do in your spare time
what do you like to do in your spare time,i like playing chess
i like playing chess,do you have any hobbies besides playing chess
do you have any hobbies besides playing chess,i am afraid not
i am afraid not,do you have any hobbies like playing tennis or things like that
do you have any hobbies like playing tennis or things like that,oh yes i like playing basketball
oh yes i like playing basketball,can you tell me why you like it
can you tell me why you like it,because i like the feeling of cooperating with others
because i like the feeling of cooperating with others,where is john i can not find him anywhere
where is john i can not find him anywhere,have not you heard that he is in prison
have not you heard that he is in prison,what beg your pardon
what beg your pardon,john is in prison now he was copped outstealing
john is in prison now he was copped outstealing,i just can not believe my ears
i just can not believe my ears,can i help you
i will certainly try to help you what topic is your paper on,my paper is on the influence of television on children
thank you for you help,hey ted what are you up to this friday
hey ted what are you up to this friday,well i have the day off from work
well i have the day off from work,that s great do you have any plans
sounds nice,yeah i ll probably just stay in and relax maybe watch a few movies
yeah i ll probably just stay in and relax maybe watch a few movies,can i stop by
can i stop by,sure any time
sure any time,you honestly believe the world s improving every year
you honestly believe the world s improving every year,yes i do i think that science is making us wiser what do you think
yes i do i think that science is making us wiser what do you think,i don t think you re right there
i don t think you re right there,i believe industry is making us wealthier
i believe industry is making us wealthier,i don t believe that
i don t believe that,and in my opinion medicine is making us healthier
that s your opinion not mine,what do you plan to do for your birthday
what do you plan to do for your birthday,i want to have a picnic with my friends mum
i want to have a picnic with my friends mum,how about a party at home that way we can get together and celebrate it
how about a party at home that way we can get together and celebrate it,ok mum i will invite my friends home
ok mum i will invite my friends home,how may i help you
how may i help you,i would like to return this book
i would like to return this book,is that all you need
is that all you need,i also want to check out this video
i also want to check out this video,is that all you would like to check out
is that all you would like to check out,that s all i need
that s all i need,do you have your library card
do you have your library card,here it is
here it is,make sure to take proper care of this video
make sure to take proper care of this video,that won t be a problem
that won t be a problem,if you damage the video you will be fined
if you damage the video you will be fined,i won t damage it
i won t damage it,what is the matter with you then you look miserable
what is the matter with you then you look miserable,it s us
it s us,what do you mean by us
what do you mean by us,well you always say you are busy
well you always say you are busy,that is right
i i i miss my parents also they miss me,oh i remember i cut terrible calls and you did not say anything about it
oh i remember i cut terrible calls and you did not say anything about it,you mean i am groaned a few words
you mean i am groaned a few words,totally not perhaps it s about our marriage
totally not perhaps it s about our marriage,hi mary you look pale today what is the matter with you
hi mary you look pale today what is the matter with you,i think i have caught a cold now i am aching all over
thank you i suppose i should go to see a doctor,i feel like going for a drink it s been a long day
i feel like going for a drink it s been a long day,great idea peter i could use the drink
great idea peter i could use the drink,how about the new bar across road
how about the new bar across road,sounds good the food there is fantastic too
sounds good the food there is fantastic too,i agree i had lunch there last week
i agree i had lunch there last week,excellent that sounds like a plan
excellent that sounds like a plan,could you tell me the right time please
you have to go and fix it,yes i will
yes i will,does your family have a record of your ancestors
that s pretty much how you feel about your step mother like grandmother like grandson,hi mr wang do you feel like going boating with me
hi mr wang do you feel like going boating with me,sounds interesting i have not gone boating for some time now and what time
sounds interesting i have not gone boating for some time now and what time,how about tomorrow afternoon
how about tomorrow afternoon,sure where shall i meet you
sure where shall i meet you,at the gate of the park
at the gate of the park,great i look forward to meeting you
great i look forward to meeting you,see you then
see you then,see you
yes it s so exciting though i had the most falls in our skiing team,is not there any coach to teach you how to ski
could you move smoothly,yes my face even ached in the icy wind
yes my face even ached in the icy wind,what happened afterwards
poor girl,you look pale recently
take good care of yourself,thank you i will
thank you i will,hey maggy did you hear about david
hey maggy did you hear about david,about david no i didn t hear anything
about david no i didn t hear anything,you know about david and his new boss
you know about david and his new boss,sorry i don t quite follow you
sorry i don t quite follow you,well i heard david has been fired
well i heard david has been fired,oh that is a shame he is really hard working
oh that is a shame he is really hard working,how do you usually get to school
how do you usually get to school,i usually ride my bike which form of transport do you prefer to use
cars might be convenient but they are so bad for the environment,do you have a car
you could try it would save you a lot of money,that is true every month i spend hundreds of dollars on gas insurance and repairs
sounds good let s go,what is wrong with him
what is wrong with him,his nose is out of joint because we forgot to invite him to the party
his nose is out of joint because we forgot to invite him to the party,what are you going to do for one year abroad tom
what are you going to do for one year abroad tom,study study study i want to learn a lot
study study study i want to learn a lot,you are going to take courses
you are going to take courses,yes i am going to take some university courses there
yes i am going to take some university courses there,sounds hard
sounds hard,yes but i think it s probably for the best
yes but i think it s probably for the best,won t you get lonely
is not this lovely weather will you help me water the flowers jack,well do you think i have to
well do you think i have to,i do we have not watered them for quite a few days
good so we do not have to work how nice,but i do not think it s so nice
but i do not think it s so nice,why
why,the weather report says it s going to rain for a whole week
the weather report says it s going to rain for a whole week,oh i am afraid all the flowers will die in the rain
oh i am afraid all the flowers will die in the rain,on darn the grocery store is closed
on darn the grocery store is closed,yeah this one closes at ten we could drive to the hour store on sixth
yeah this one closes at ten we could drive to the hour store on sixth,alright we are out of everything
alright we are out of everything,i wish the store close to us was open house a day
yeah and the prices there are very high,i know three dollars for milk
i know three dollars for milk,do you think they two will get married
do you think they two will get married,you can count on it
you can count on it,i think so yes they get along so well
i think so yes they get along so well,i like him he s good for her
i like him he s good for her,you are right he sure is
you are right he sure is,dad where are we off to
yes,that is a bank the coffee shop is opposite the bank
that is a bank the coffee shop is opposite the bank,good i will have hot chocolate
good i will have hot chocolate,a stop wait for the lights to turn green
a stop wait for the lights to turn green,when crossing the road you must always pay attention to what is around you
when crossing the road you must always pay attention to what is around you,sorry how far is the museum
sorry how far is the museum,i am not sure we will ask for directions in the coffee shop
i am not sure we will ask for directions in the coffee shop,here we are you find us a table and i will get the drinks
here we are you find us a table and i will get the drinks,how about going to the cinema tonight
how about going to the cinema tonight,that is great what is on tonight
romantic i am afraid i like thrillers better,do not you think it s too bloody
do not you think it s too bloody,on the contrary very exciting
on the contrary very exciting,i feel so uncomfortable
i feel so uncomfortable,are you sick
he ll finish writing in a minute,i have made up my mind i am getting a tattoo
i have made up my mind i am getting a tattoo,really are you sure
maybe i should just get a tongue piercing,excuse me what is the screen near your steering wheel for
excuse me what is the screen near your steering wheel for,it s a portable tv it s a popular thing now
it s a portable tv it s a popular thing now,oh that is new to me so what is on everyday
oh that is new to me so what is on everyday,news about current affairs documentaries music movies noncommercial ads and so on
news about current affairs documentaries music movies noncommercial ads and so on,is there anything interesting
i agree are there any commercials on the tv,of course because the tv stations need to make money from commercials between the programs
of course because the tv stations need to make money from commercials between the programs,that makes a lot of sense does the tv work well
that makes a lot of sense does the tv work well,not always it depends on the transmission of the satellite signals
not always it depends on the transmission of the satellite signals,i got it do you pay for the programs
i got it do you pay for the programs,yes yuan per month
yes yuan per month,oh no
oh no,how dreadful
how dreadful,look at the view from the window
look at the view from the window,oh dear that s terrible not at all what i expected
oh dear that s terrible not at all what i expected,it s awful isn t it
it s awful isn t it,i can t bear to look at it i m rather disappointed
i can t bear to look at it i m rather disappointed,it can t be helped
it can t be helped,what do you do in your free time nancy
what do you do in your free time nancy,well i like playing the violin
well i like playing the violin,really how long have you been playing the violin
really how long have you been playing the violin,about ten years so far i started learning when i was in middle school
about ten years so far i started learning when i was in middle school,that is really interesting
that is really interesting,sure so what about you do you have any hobbies
sure so what about you do you have any hobbies,well i like collecting matchbox i am not sure if that counts though
well i like collecting matchbox i am not sure if that counts though,of course it does everybody has his own hobby
of course it does everybody has his own hobby,how can i tell her about this
how can i tell her about this,do not worry you will find a way
do not worry you will find a way,there is no need to be so frustrated
there is no need to be so frustrated,how can you live without job in the future
how can you live without job in the future,do not worry you will find a way
do not worry you will find a way,what sports do you like to play
what sports do you like to play,i like baseball and basketball
i like baseball and basketball,how about football
it s a very popular game in america,yeah i heard a lot about it is it really that fun
ok i will call you saturday morning,great
great,what upsets you
it is not your mother finding one for you,i will find one myself of course i m a modern girl
i will find one myself of course i m a modern girl,perhaps you can try the three minutes date the latest type
are you going to the party on saturday,i was thinking about it are you
i was thinking about it are you,yeah i heard it s going to be a lot of fun
yeah i heard it s going to be a lot of fun,really well what time does it start
really well what time does it start,it starts at
it starts at,well who all is going to be there
well who all is going to be there,everyone from school
everyone from school,how do you know it s going to be so fun
how do you know it s going to be so fun,this party is going to have a dj food and drinks
this party is going to have a dj food and drinks,wow that does sound like it s going to be fun
wow that does sound like it s going to be fun,so am i going to see you at the party
so am i going to see you at the party,yeah i will be there
yeah i will be there,could you talk to me for a few minutes about my grades
could you talk to me for a few minutes about my grades,step into my office for a moment what is your concern
step into my office for a moment what is your concern,am i failing
i am pretty sure that i am in trouble,i can see that you are trying but where do you think you could improve
having a regular study routine and following it is very important right,i will try it s hard
i will try it s hard,thanks for stopping by
thanks for stopping by,good luck on your test tomorrow we will be crossing our fingers for you
good luck on your test tomorrow we will be crossing our fingers for you,thanks
thanks,i will never ever work together with him
i will never ever work together with him,what happened quarrel again
what happened quarrel again,will you take my materials back from him for me please
will you take my materials back from him for me please,do not ask me i do not wanna be involved in your quarrel
do not ask me i do not wanna be involved in your quarrel,oh my god i have been cheated
oh my god i have been cheated,what what did you buy
what what did you buy,it s a brick i can not believe how stupid i was damn it
it s a brick i can not believe how stupid i was damn it,what is it why did you buy a brick
and it s a brick,yes
yes,i can not believe how stupid you are why did not you open the box
but why would a guy be selling new video cameras for twenty dollars,he said he had to get rid of them they were stolen
is the clock right,i am afraid it gains a little
i am afraid it gains a little,by how many minutes
by how many minutes,two
two,hey mary what is up
i liked physics it s all math really arcs curves velocity cool stuff,yeah yeah but today s lesson was all about the creation of the universe
yes so i want to learn french to develop my career,how old are you
how old are you,nine but i will be ten on may st when is your birthday
nine but i will be ten on may st when is your birthday,i am older than you i will be ten on april th
i am older than you i will be ten on april th,are you going to have a birthday party
are you going to have a birthday party,maybe i will have to ask my mother
maybe i will have to ask my mother,it smells like an ashtray in here
it smells like an ashtray in here,hi honey what s wrong why do you have that look on your face
hi honey what s wrong why do you have that look on your face,what s wrong i thought we agreed that you were gonna quit smoking
fine i want a divorce,why are you shivering
why are you shivering,it s freezing
it s freezing,it seems that you get antsy when you hear i praise another guy
how come you think of him that way,because you seem to have lost your vigilance you should be on the watch out
because you seem to have lost your vigilance you should be on the watch out,i have no reason to distrust him he is never caused any harm
i have no reason to distrust him he is never caused any harm,is not there anything that sounds fishy
is not there anything that sounds fishy,nothing smells a rat i told you that he is an all right guy
nothing smells a rat i told you that he is an all right guy,all right guy all right let s talk about something else instead
all right guy all right let s talk about something else instead,cheese it tastes like cardboard
cheese it tastes like cardboard,i think so maybe that s why it s cheap here
i think so maybe that s why it s cheap here,have you signed up to join the company s christmas party
have you signed up to join the company s christmas party,sure i have will you join
if the weatherman s predictions are accurate it should rain tomorrow,i hope not then we would have to reschedule our baseball game
i hope not then we would have to reschedule our baseball game,hi emily do you know that guy over there
hi emily do you know that guy over there,the tall one sure that is drive he works with lily
the tall one sure that is drive he works with lily,he is cute what dose he do
he is cute what dose he do,i am not sure he is a manager i think
i am not sure he is a manager i think,really are you going to introduce us
really are you going to introduce us,well he has already taken you know that is his wife right there
well he has already taken you know that is his wife right there,you did not ring me last night you said you would
you did not ring me last night you said you would,i am sorry to have made you disappointed
i am sorry to have made you disappointed,that is all right but why were you so rude to me at lunch
that is all right but why were you so rude to me at lunch,was i sorry i didn t mean to be i do apologize
was i sorry i didn t mean to be i do apologize,and why are you yarning now are you bored
and why are you yarning now are you bored,forgive me darling i am very tired
forgive me darling i am very tired,hi nicole did you have a good weekend
hi nicole did you have a good weekend,yes i did but i feel tired today
yes i did but i feel tired today,really why
and i bet you studied too,yeah i studied on sunday evening what about you
that sounds like fun but did you exercise,sort of i played golf on my computer
sort of i played golf on my computer,there will be a parade to celebrate national day this weekend
there will be a parade to celebrate national day this weekend,what is the route
what is the route,from zhongshan circus to city bank
from zhongshan circus to city bank,if only i could join it
if only i could join it,excuse me i am afraid you are in my seat you have moved my books
excuse me i am afraid you are in my seat you have moved my books,oh dear
oh dear,you must have realized somebody was here
what s the life expectancy in your country,i m not sure but probably about years how about in your country
how s your son these days,oh he s fine kids seem to grow up very quickly nowadays
i am going to japan this year on vacation,have you ever been to america
have you ever been to america,no but i would really like to
no but i would really like to,you would like it
you would like it,hey mark long time no see
hey mark long time no see,julie it s good to see you again how have you been
julie it s good to see you again how have you been,great i just got back from a week s vacation in thailand
great i just got back from a week s vacation in thailand,really how was it
really how was it,fantastic i did not want to come back
fantastic i did not want to come back,i hear the beaches in thailand are beautiful
i do like thai food did you see much of bangkok,not much i have got enough city life in beijing
not much i have got enough city life in beijing,i know what you mean i could use a vacation myself
i know what you mean i could use a vacation myself,hey would not it be great if we could go to thailand together sometime
hey would not it be great if we could go to thailand together sometime,yeah it sure would
yeah it sure would,could i see the manager please i have a complaint to make
could i see the manager please i have a complaint to make,yes i m the manager here what can i do for you madam
yes i m the manager here what can i do for you madam,did you have the room checked before we move in
did you have the room checked before we move in,which room are you in
which room are you in,the toilet doesn t work properly the water doesn t run in the shower
the toilet doesn t work properly the water doesn t run in the shower,i m awfully sorry to hear that i ll turn to it right away
i m awfully sorry to hear that i ll turn to it right away,congratulations vivian you won the grand prize again
congratulations vivian you won the grand prize again,is not it just great i just knew i would win
is not it just great i just knew i would win,you did how did you wear red underwear again this year
you did how did you wear red underwear again this year,not only that
not only that,tell me tell me what is your secret
what you did that,we are going to the concert this evening will you join us
we are going to the concert this evening will you join us,i am very sorry i can not
i am very sorry i can not,why not
why not,i have been snowed under with since my bosses away on business
you know the phrase the survival the fittest we have no choices,that is right i have to work hard
that is right i have to work hard,the music is on may i have the pleasure to dance with you
the music is on may i have the pleasure to dance with you,sorry i am engaged for the foxtrot will the next walls be all right
sorry i am engaged for the foxtrot will the next walls be all right,certainly
certainly,excuse me is this seat taken
excuse me is this seat taken,no please feel free
no please feel free,thanks a lot
thanks a lot,do you work in shanghai
do you work in shanghai,yes i do how about you
uh huh,look at this headline soo mi
look at this headline soo mi,wow so many people in the united states get divorced
wow so many people in the united states get divorced,is it the same in korea
do people get married young,not really very few people get married beforethe age of
not really very few people get married beforethe age of,hmm do women usually work after they get married
boy what a beauty i fall in love with her at the first sight,the beauty under the tree
the beauty under the tree,of course no girl is more charming
of course no girl is more charming,she is a young man
she is a young man,excuse me where do i register
excuse me where do i register,oh over there in pacific pavilion
oh over there in pacific pavilion,is that the large white building
is that the large white building,yeah that is it
yeah that is it,thanks
thanks,how was your education going on in australia
how was your education going on in australia,i am going to graduate this summer
i am going to graduate this summer,where are you going to work then in australia or back in china
where are you going to work then in australia or back in china,i am planning to return to china after graduation
you will not play online games full of violence will you,once in a while
i hope i can practice self control again,what s the plot of your new movie
thank you very much for doing this interview,my pleasure have you seen the movie yet
who s that old lady trimming the trees,she is my grandma
she is my grandma,she is looks very healthy how old is she
she is looks very healthy how old is she,
,mom my legs are killing me
mom my legs are killing me,hold on we will be successful right away
what did you say,i said it s a lovely day why do not we go for a walk
i said it s a lovely day why do not we go for a walk,well i feel a little tired
well i feel a little tired,come on a little labor much health
come on a little labor much health,then can you wait a few minutes i want to finish writing this letter
zina can i talk to you about something personal,as long as it does not take too long
was he upset when you told him you had to leave this weekend,he said not to bother coming back and i said fine i will not
he said not to bother coming back and i said fine i will not,so what is the problem
so what is the problem,mary how was your date with john
mary how was your date with john,it s ok it seems we have a lot in common
it s ok it seems we have a lot in common,oh really that is great news what does he look like
oh really that is great news what does he look like,he is tall and slim fair haired
he is tall and slim fair haired,sounds like he is pretty cute what do you think of him
oh it s love at first sight when will you see each other again,he did not say but he said he would call me
thank you steve you are always so encouraging,that is what friends are for
that is what friends are for,hi francis how was your business trip
hi francis how was your business trip,it was a nightmare
it was a nightmare,what s up
this is really a sad story did they trace back your luggage,i am still waiting for their call
i am still waiting for their call,take it easy all sufferings have their reward
take it easy all sufferings have their reward,so the company decided to cancel your trip to hong kong
which pair of jeans do you like best,i really like the straight legs
i really like the straight legs,but they are not very fashionable what about these
that is the style you just wear boxers,what if someone got it in their head to give them a tug what then
what if someone got it in their head to give them a tug what then,you are so old fashioned nobody is going to pull down your pants
you are so old fashioned nobody is going to pull down your pants,if you ask me it s a walking invitation
if you ask me it s a walking invitation,hi charles what is the matter
hi charles what is the matter,oh my car is not working i am waiting for a tow truck
oh my car is not working i am waiting for a tow truck,do you have a ride home
do you have a ride home,yes my wife is coming to get me
yes my wife is coming to get me,that is good do you live near here
that is good do you live near here,no we live in the suburbs what about you
no we live in the suburbs what about you,i live downtown with my parents
i live downtown with my parents,do you have a car
do you have a car,i do not need a car i walk to work
i do not need a car i walk to work,you are lucky
you are lucky,happy anniversary sweetheart
happy anniversary sweetheart,yes to our first anniversary and many more to come cheers
yes to our first anniversary and many more to come cheers,i will drink to that thanks for making this a night worth remembering
that is good to know oh listen the band s playing our song,i requested it what do you say do you have your dancing shoes on
i requested it what do you say do you have your dancing shoes on,always
always,what do you plan to do for your birthday
ok mum i will invite my friends home,how about seconds victor
how about seconds victor,no thanks i am full
no thanks i am full,why do not you have dinner with me tonight
why do not you have dinner with me tonight,i would love to
i would love to,let s say about
let s say about,that is ok with me
that is ok with me,cigarette
cigarette,oh uh thanks henry do you have a light
oh uh thanks henry do you have a light,sorry here
sorry here,thanks lovely day pity i m on duty
oh no i couldn t possibly,hi rose what are you busy with right now
well rose,is there something any need
is there something any need,are your free this weekend
are your free this weekend,yes i have nothing to do
yes i have nothing to do,great is it convenient if i visit you this weekend
great is it convenient if i visit you this weekend,i beg your pardon
really well ok you are welcome,is pm saturday a good time for you
is pm saturday a good time for you,hmm how about seven i can treat you to dinner
hmm how about seven i can treat you to dinner,sure that would be great i will bring the wine
sure that would be great i will bring the wine,ok then i will be expecting you
ok then i will be expecting you,i will be there on time
i will be there on time,how do you shoot pool
can i get the black ball in,the black ball has to be the final ball in the pockets
the black ball has to be the final ball in the pockets,let s go and try now
let s go and try now,how about going to hear a country and western singer tonight
how about going to hear a country and western singer tonight,i would enjoy that
i would enjoy that,i will pick you up around
i will pick you up around,ok i will see you then
ok i will see you then,the mosquitos are biting me
the mosquitos are biting me,me too i can t stop scratching they are everywhere sneaky little jerks
me too i can t stop scratching they are everywhere sneaky little jerks,do you have any bug spray
do you have any bug spray,no i forgot to buy some
no i forgot to buy some,then we ll have to put up with it
that s without a doubt the best idea you ve had let s do it,run they are thirsty for more
then stay away no one is keeping you from doing that,do not be so irritable i just do not understand the program that is all
do not be so irritable i just do not understand the program that is all,all right i will explain it to you later on now scram
that is exactly what i want thank you,okay can i ask you something direct
okay can i ask you something direct,ha it s not like you have ever been one to beat around the bush
ha it s not like you have ever been one to beat around the bush,fair enough give it to me straight did she bully you into this
fair enough give it to me straight did she bully you into this,no seriously i really want this
i know but things have changed i guess i have settled down,i guess so
please excuse me but i really have to be going,yes of course it was nice to see you
yes of course it was nice to see you,it was nice to see you too and please give my regards to mrs robbins
it was nice to see you too and please give my regards to mrs robbins,excuse me is this seat taken
excuse me is this seat taken,i am afraid so
i am afraid so,what do you think of the coming match
what do you think of the coming match,winning is a piece of cake to me
winning is a piece of cake to me,you are bragging again
you are bragging again,what would you reckon the taxing increases
what would you reckon the taxing increases,well the state will benefit a lot i suppose
well the state will benefit a lot i suppose,but what do most people think about it
but what do most people think about it,ah it s hard to say
ah it s hard to say,are you still coming to my place for dinner tomorrow night
are you still coming to my place for dinner tomorrow night,of course is the dinner still on
well we will be careful thanks for letting me know,jack wonders whether linda likes him or not
jack wonders whether linda likes him or not,why does not he ask her
why does not he ask her,he is too scared to ask her
he is too scared to ask her,he is a chicken guy
what beg your pardon,john is in prison now he was copped outstealing
john is in prison now he was copped outstealing,i just can not believe my ears
i just can not believe my ears,what do you need
what do you need,i need to use the internet
i need to use the internet,you have your library card right
you have your library card right,yes i do
yes i do,there is a wait right now to use the computers
there is a wait right now to use the computers,that s fine
that s fine,would you please write your name on this list
would you please write your name on this list,then what
then what,i will call you when a computer is free
i will call you when a computer is free,how do i log on to the computer
how do i log on to the computer,use the number on the back of your library card
use the number on the back of your library card,thanks i ll be sitting over there
thanks i ll be sitting over there,what a nice tie you are wearing
what a nice tie you are wearing,thank you but does it really look all right
thank you but does it really look all right,certainly it matches your suit perfectly
certainly it matches your suit perfectly,then does it go well with my sweater
then does it go well with my sweater,yes you look very smart today
yes you look very smart today,thank you very much
thank you very much,what do you make of the case
what do you make of the case,if you ask me i don t think it s guilty
if you ask me i don t think it s guilty,what do you mean by saying so
what do you mean by saying so,i mean it s not his fault
i mean it s not his fault,oh yeah
oh yeah,yes don t you think he should be pitied rather than accused
yes don t you think he should be pitied rather than accused,happy mother s day mom
happy mother s day mom,thanks these are beautiful you should not have
i forgot what i put up with in that case i do deserve these flowers,i have a real problem when i meet people
i have a real problem when i meet people,what is it maybe i can help
do you come from a country where they shake hands,oh yes men women and children shake hands all the time
oh yes men women and children shake hands all the time,it s very simple men shake hands women and children don t
yes jane invited me for dinner to this new restaurant which opened near us,oh yes i know the one how was the food
i can try but knowing margaret she will see through that immediately,here s the restaurant we are meeting the smiths at
here s the restaurant we are meeting the smiths at,let s go in to wait for them
let s go in to wait for them,after you
after you,when do you usually go to the movies
when do you usually go to the movies,i usually go in my free time on the weekends how about you
that is true and sometimes the tickets are cheaper during the week as well,are you telling us a lie again
are you telling us a lie again,i will be hanged if i lying
i will be hanged if i lying,all right but what was the trouble
all right but what was the trouble,my car run out of petrol
he had a lot of nerve telling us our ads sucked,time to order balista today i want a skinny triple latte
time to order balista today i want a skinny triple latte,when did you start worrying about your weight
